Ind	Sp	Gen	Line	CorollaWidth	CorollaThroat	CorollaLength	OverallCorollaLength	SepalLength	LongestStamenLength	PistilLength	SeedMass	SeedLength	SeedWidth	NectarVolume	SugarConcentration	NectarySize	TotalSugAmt
1044	CL5	F5	188d	19.015	6.06	19.87166667	23.43333334	11.56833333	15.05666667	13.94333334	0.033	4.56	4.315	1.478125	308.9069093	0.099388194	466.1037035
232	CL5	F5	189d	22.08	6.85	20.12333334	25.175	11.16333334	14.91833333	13.745	0.0325	4.6	4.155	0.684166667	272.2333111	0.085562327	192.7993045
722	CL5	F5	19	20.605	5.835	21.06666667	25.32833334	11.77833333	15.30166667	12.56833334	0.0305	4.43	4.375	1.389166667	298.740386	0.083243547	413.0413169
134	CL5	F5	192	21.15166667	6.793333334	23.68	27.34666667	11.28833334	15.78166667	13.41666667	0.0365	5	4.605	1.588333333	337.915728	0.127497871	547.2877562
1120	CL5	F5	195	22.67	6.081666667	21.865	25.81	10.46833334	17.03166667	12.76	0.027	4.23	4.33	1.59625	322.9590124	0.082464939	524.1318003
14	CL5	F5	196	25.10833334	7.028333333	25.16	30.36666667	11.795	17.955	15.16	0.035	5.395	4.285	1.898020834	300.2219559	0.088672754	611.5475351
67	CL5	F5	197	24.64166667	6.756666667	22.85	28.18833334	11.00833334	16.31	16.30333334	0.0235	4.375	3.715	2.122291667	307.4167623	0.1329143	646.5496993
1239	CL5	F5	198	20.515	6.3	21.85166667	25.13166667	10.22	15.49	14.46833334	0.0325	4.87	4.355	1.203125	341.5306824	0.093763993	413.2888896
183	CL5	F5	200	20.11666667	5.93	21.00666667	24.67333334	10.27833334	14.74666667	11.87333334	0.0225	4.455	3.87	0.4809375	333.6258902	0.084299651	165.1724226
167	CL5	F5	201	19.56333334	6.181666667	22.44666667	25.43833334	11.68833333	14.48333334	12.15333333	0.0285	4.495	4.015	0.840104167	292.2267549	0.081630055	246.7778754
1294	CL5	F5	202	20.90333334	6.18	20.08166667	24.04333334	10.955	13.67333334	12.84166667	0.0275	4.34	3.895	1.37625	302.7130184	0.0738028	431.5087296
1105	CL5	F5	203	21.18833334	7.071666667	23.64833333	27.09333334	10.14	15.91166667	13.94	0.029	4.625	4.085	2.831354167	355.0157837	0.106641335	1001.241919
1204	CL5	F5	205	20.27666667	5.973333334	19.53666667	23.70833333	11.015	13.88	12.33	0.0275	4.175	4.325	1.2790625	291.4074791	0.066741231	378.4863204
1017	CL5	F5	207	25.525	6.586666667	24.15666667	29.31666667	12.16	17.71666667	14.82	0.0345	5.23	4.225	1.498020834	289.7941083	0.087117928	453.7560311
323	CL5	F5	209	23.43333334	6.698333333	24.20333333	27.82333334	12.01833333	16.59333333	15.67	0.033	4.465	4.15	2.254270834	335.6488954	0.147615685	752.6535997
474	CL5	F5	21	22.01666667	6.988333334	23.43333333	27.62	9.890000002	17.145	13.55333333	0.033	4.895	4.535	1.6628125	336.5752897	0.09483024	568.8890766
567	CL5	F5	211	18.99666667	5.696666667	20.70833333	23.93166667	10.51666667	14.97	12.59666667	0.027	4.7	4.04	1.2725	282.6042692	0.066106319	379.1243994
364	CL5	F5	213s	21.90166667	6.08	22.35	27.105	10.58333334	16.35	13.87	0.029	4.46	3.96	1.910833333	317.9992758	0.101158157	609.6876052
1010	CL5	F5	214	19.84166667	6.43	19.10833334	23.055	9.506666667	14.975	12.69333333	0.029	4.58	4.16	1.367291667	282.4970176	0.080400421	390.3962528
308	CL5	F5	217	19.79166667	5.593333333	21.93	25.46666667	10.70666667	15.01333334	14.025	0.028	4.27	4.125	2.0996875	336.8298999	0.111764705	704.6594728
1303	CL5	F5	218	22.51666667	6.505	24.665	28.79	10.95166667	17.30666667	14.24	0.031	4.505	4.285	2.2071875	297.7422576	0.080002378	664.2879248
863	CL5	F5	220	25.02666667	7.42	25.82666667	29.245	13.18333334	15.81	16.86833333	0.0365	4.8	4.06	2.340104167	331.3695277	0.187127014	776.2675941
1231	CL5	F5	222	22.86166667	6.933333334	22.46666667	26.31833334	11.71333333	16.42166667	14.96833333	0.029	4.47	3.68	1.639895833	324.0713168	0.146265586	535.7568485
1181	CL5	F5	226	23.85666667	6.78	23.87833333	28.27	12.00166667	17.19333334	13.53833334	0.0305	4.465	4.265	2.551041667	367.5150698	0.164740855	925.2444116
759	CL5	F5	227	21.96666667	5.9	20.92833334	25.46833333	11.03166667	15.54833333	13.835	0.0315	4.375	4.165	1.659479167	283.460001	0.110847013	469.209702
382	CL5	F5	228s	23.13666667	6.616666667	23.00666667	27.63	11.02	17.34833333	13.14	0.0345	4.97	4.38	2.0840625	344.2333348	0.096736535	724.746386
1086	CL5	F5	229	19.32666667	6.451666667	22.355	25.465	11.97666667	13.42833333	12.47833334	0.0395	4.985	4.58	0.837708334	260.4772541	0.098502972	237.305751
782	CL5	F5	231	22.13833333	6.838333334	23.39333333	27.90666667	11.05666667	16.98166667	15.55666667	0.025	4.39	3.87	1.5259375	280.1580296	0.073376926	425.1817778
1058	CL5	F5	233	20.30333333	5.878333334	19.63833334	23.72666667	11.455	13.85166667	10.31333334	0.0225	4.395	3.915	1.192916667	236.0688582	0.076285528	291.313057
1341	CL5	F5	234	19.41166667	6.263333334	20.25333333	24.075	10.78833334	15.05333334	11.47833334	0.029	4.525	4.22	1.615104167	300.8145714	0.067702274	493.4595339
1192	CL5	F5	235	21.14666667	6.646666667	22.815	26.77666667	10.72833334	16.53666667	14.28666667	0.0315	4.85	4.155	1.667083334	346.1107613	0.144303248	592.9930894
894	CL5	F5	237	22.76833333	6.635	22.53666667	26.87	11.29333334	17.59166667	15.27	0.0285	4.925	4	0.736145834	291.3450128	0.104336379	227.3852134
1106	CL5	F5	238	22.915	5.968333334	22.57666667	26.82666667	11.58	17.73333334	14.32	0.03	4.3	4.145	1.7953125	301.5260202	0.09101458	543.4157972
110	CL5	F5	24	21.74	6.426666667	22.14333333	26.58666667	10.41833333	15.83333333	13.82833334	0.028	3.845	4.015	2.691666667	337.6411846	0.120508048	913.8181619
906	CL5	F5	240	20.56166667	6.151666667	20.79666667	25.14333334	10.02333333	15.43833334	15.14166667	0.0245	4.48	3.855	1.6346875	276.8704173	0.071379915	453.1646961
1258	CL5	F5	244	22.265	6.95	21.24666667	25.38666667	10.78333334	14.47666667	12.34333333	0.03	4.455	4.065	1.388541667	309.6524375	0.12193175	453.8242955
1256	CL5	F5	247	21.81	6.706666667	23.55333334	27.86666667	9.628333335	16.28166667	12.375	0.0245	4.115	3.77	1.025104167	256.5622616	0.081849102	290.5275555
491	CL5	F5	250	23.11666667	6.76	26.21833334	30.66666667	11.27	17.29166667	15.475	0.0335	4.99	4.27	1.584375	292.6191773	0.125167177	488.8849106
479	CL5	F5	251	21.635	5.963333333	20.56833334	24.73166667	12.60166667	14.94666667	14.09833333	0.0355	4.855	4.015	1.111770834	284.8096335	0.094713759	313.7317145
1071	CL5	F5	255	22.935	6.733333333	24.39333333	28.58166667	10.945	16.97	15.42833334	0.0255	4.54	3.98	1.8759375	303.0527451	0.092140278	582.4583357
