Ind	Sp	Gen	Line	CorollaWidth	CorollaThroat	CorollaLength	OverallCorollaLength	SepalLength	LongestStamenLength	PistilLength	SeedMass	SeedLength	SeedWidth	NectarVolume	SugarConcentration	NectarySize
1337	CL5	F5	38	22.02333333	6.99	24.51666667	27.91333333	11.73333333	17.61	15.66333333	0.032	4.69	4.07	2.57625	350.0165146	0.171766897
691	CL5	F5	38	20.52	6.55	22.56	25.77333333	10.04666667	17.3	14.09	0.03	4.65	4.08	2.310625	349.6201053	0.150652655
1200	CL5	F5	40	20.59333333	6.576666667	23.03666667	26.66	11.79	16.7	13.19666667	0.036	4.9	4.19	1.97375	302.0036444	0.133195439
774	CL5	F5	40	22.90333333	6.29	22.26333333	26.25	11.84	15.92	12.44333333	0.029	4.42	4.02	1.422083333	321.3041948	0.102454076
130	CL5	F5	41	18.15666667	5.436666667	17.90333333	21.04	8.613333333	11.86666667	9.816666667	0.024	4.22	3.88	0.095625	327.4369713	0.058621196
872	CL5	F5	41	24.9	7.336666667	23.74	28.87666667	10.68333333	17.39666667	15.59666667	0.024	4.31	3.81	1.3275	283.9060463	0.060727704
263	CL5	F5	42	20.43666667	7.686666667	23.58	26.28	10.98	16.29333333	14.24333333	0.033	4.57	4.09	2.11875	353.1228406	0.124819407
57	CL5	F5	42	23.58666667	7.063333333	25.03333333	28.17666667	11.39	17.08	14.6	0.034	4.87	4.14	1.859791667	313.309645	0.111924663
366	CL5	F5	44	21.89666667	6.136666667	23.20333333	27.77666667	11.30333333	17.52333333	14.79666667	0.026	4.56	4.06	1.921458333	358.0558253	0.128879427
824	CL5	F5	44	22.25	6.853333333	25.3	28.39333333	11.45333333	18.14	14.83333333	0.039	5.01	4.47	1.694791667	366.637918	0.114785341
338	CL5	F5	45	17.16666667	5.283333333	19.2	22.21666667	10.82333333	13.6	11.11666667	0.035	4.87	4.32	1.509791667	313.6074017	0.073254102
393	CL5	F5	45	16.02333333	5.38	18.66666667	21.57666667	11.24666667	14.02666667	11.42333333	0.033	4.91	4.22	1.01875	368.3603766	0.056790971
1032	CL5	F5	46	24.46333333	7.943333333	25.04	28.53	11.53333333	16.96	15.67666667	0.034	4.81	4.37	1.26625	341.8345902	0.143692156
655	CL5	F5	46	19.90333333	6.793333333	19.38	22.96666667	9.56	14.14666667	13.19333333	0.032	4.56	4.46	0.413958333	298.9109489	0.086230979
56	CL5	F5	48	25.47666667	7.343333333	24.97333333	30.11333333	10.8	18.31666667	13.41333333	0.026	4.16	4.33	1.054791667	277.0033931	0.095630753
9	CL5	F5	48	24.27	6.74	23.61666667	28.17666667	10.26	16.95	13.72	0.034	4.36	4.35	1.108125	326.2434028	0.111979579
112	CL5	F5	49	27.04666667	7.713333333	27.38333333	31.78666667	11.52666667	18.74	15.05666667	0.04	5.1	4.33	2.040416667	375.9955991	0.12140664
199	CL5	F5	50	27.17333333	7.45	25.62666667	31.63	11.91	18.60333333	16.33666667	0.04	5.56	4.61	1.93	344.3930417	0.126082382
521	CL5	F5	50	24.00666667	6.196666667	23.38666667	27.68	11.69333333	17.72	15.95666667	0.033	5.52	4.46	1.094791667	303.5380067	0.089299944
1405	CL5	F5	52	24.67333333	6.8	25.39666667	27.39666667	11.21666667	16.53	13.92666667	0.021	3.95	3.58	1.160833333	345.4056297	0.095284959
1408	CL5	F5	52	23.63	6.466666667	22.57666667	26.64	11.17333333	15.23333333	12.36666667	0.022	3.88	3.63	1.082708333	366.3176278	0.08735059
1021	CL5	F5	53	23.35666667	7.236666667	24.12	26.89333333	10.55	17.40333333	14.49333333	0.025	4.19	4.05	2.67375	353.0559823	0.150616586
538	CL5	F5	53	21.47666667	6.093333333	21.62666667	26.03666667	10.56666667	15.56333333	12.29666667	0.025	4.18	4.06	1.486875	340.7510689	0.113283129
592	CL5	F5	55	24.68333333	6.253333333	26.21	30.67	13.14666667	17.08333333	15.79666667	0.027	4.54	3.93	1.667083333	355.3586601	0.114534429
996	CL5	F5	55	23.06	6.9	24.31	28.61666667	11.41666667	16.82666667	15.46666667	0.028	4.3	4.13	2.061041667	316.1954606	0.096892462
646	CL5	F5	56	20.26	6.32	20.13	24.37333333	11.96	14.86	12.16333333	0.026	4.23	3.99	0.654791667	300.3064566	0.0761535
847	CL5	F5	56	22.76666667	6.73	22.32	26.9	11.76333333	16.62333333	13.72333333	0.029	4.59	3.97	1.648333333	329.1627534	0.120434433
1004	CL5	F5	58	25.42333333	7.5	23.62	29.33666667	12.57666667	16.62666667	15.08666667	0.029	4.32	3.95	1.127083333	317.1546992	0.110886432
694	CL5	F5	58	23.71666667	6.823333333	20.88	25.16666667	13.34666667	14.26666667	13.71	0.032	4.62	4.1	1.210416667	321.6350306	0.146600681
355	CL5	F5	59	23.53	6.556666667	22.95333333	26.99666667	11.63	15.69	14.77333333	0.025	4.76	3.92	1.776458333	334.3504337	0.097029926
864	CL5	F5	59	21.62	6.226666667	22.05666667	25.86333333	12.61666667	14.68666667	12.33666667	0.024	4.61	3.87	1.98875	332.0550042	0.069368593
1111	CL5	F5	62	19.80666667	6.496666667	20.12333333	23.97333333	10.83666667	15.74	14.27	0.03	4.89	4.14	2.80125	309.3896984	0.10588329
463	CL5	F5	62	22.00666667	6.326666667	22.23333333	25.71333333	12.08	15.52	14.11	0.029	4.72	4.16	1.773958333	344.1933789	0.122730936
1322	CL5	F5	63	20.37	5.7	20.33333333	24.44666667	10.89	14.42	12.64	0.029	4.62	3.88	1.495833333	331.8969526	0.080874296
698	CL5	F5	63	20.32666667	6.343333333	21.57333333	24.81	11.23333333	14.88	13.36333333	0.028	4.3	3.88	0.925833333	263.5548965	0.058826661
457	CL5	F5	64	23.65333333	6.44	21.52333333	26.09666667	11.41	15.39666667	15.73666667	0.029	4.4	4.06	1.684791667	351.9607071	0.200118081
468	CL5	F5	64	22.71333333	6.28	21.24	25.09	11.50333333	15.71666667	16.07666667	0.031	4.71	4.26	1.472708333	331.8148199	0.120390618
1243	CL5	F5	69	22.38333333	6.74	23.31666667	26.36	11.99333333	16.85333333	14.59666667	0.035	5.1	4.2	2.492708333	335.2225317	0.10649429
873	CL5	F5	69	21.38333333	6.92	21.92	26.04333333	11.49	16.44333333	14.44666667	0.035	4.89	4.09	1.454583333	296.2629066	0.099118809
1069	CL5	F5	70	24.36666667	6.476666667	23.71666667	28.32666667	11.51333333	16.67	15.5	0.023	4.08	3.75	2.14	390.4342505	0.131564035
155	CL5	F5	70	21.31333333	6.51	21.88333333	25.58333333	9.843333333	15.18666667	14.08666667	0.025	4.1	3.52	1.340208333	382.5263751	0.110796604
233	CL5	F5	71	23.40666667	6.69	21.60666667	27.31	10.80666667	16.48	14.63666667	0.027	4.4	4.01	1.273541667	309.2083374	0.093931069
489	CL5	F5	71	24.30666667	6.406666667	23.76666667	28.14333333	12.61666667	16.56333333	14.70333333	0.03	4.67	4.05	1.202708333	282.3285609	0.156235294
1112	CL5	F5	72	18.67333333	5.353333333	19.31333333	22.81333333	10.29333333	15.24333333	12.35666667	0.034	4.68	4.16	1.190208333	320.7631508	0.052080388
954	CL5	F5	72	19.89	5.936666667	21.59333333	25.07333333	10.74333333	15.64	13.18333333	0.027	4.49	3.93	1.53875	315.2770461	0.105497096
362	CL5	F5	74	23.24	7.273333333	24.60666667	27.82666667	11.37333333	17.31	15.59	0.037	5.18	4.29	2.403541667	366.6735795	0.175933066
657	CL5	F5	74	23.02	6.506666667	21.37	26.20666667	10.69333333	16.17	12.72666667	0.037	4.87	4.43	2.01625	365.8195237	0.189824665
1282	CL5	F5	76	23.51333333	6.386666667	25.09	28.05666667	10.57666667	17.76666667	14.22666667	0.032	4.89	4.15	1.421041667	332.7186222	0.103039327
372	CL5	F5	76	24.29666667	6.376666667	21.26	27.84666667	11.76333333	15.88333333	12.98333333	0.033	4.96	4.07	1.57	328.9358241	0.140655435
1286	CL5	F5	80	22.48333333	7.183333333	20.8	25.14666667	10.29	15.64666667	12.49666667	0.027	4.2	4.86	0.58625	265.6743568	0.063143523
131	CL5	F5	80	21.89666667	6.32	21.39333333	25.20333333	11.49333333	15.45666667	13.04333333	0.029	4.2	3.85	0.141666667	258.2083638	0.063249627
1050	CL5	F5	83	19.96333333	6.02	21.91666667	25.78	11.08666667	15.95666667	13.15333333	0.029	4.58	3.92	0.994166667	323.7515691	0.067781171
751	CL5	F5	83	20.61666667	6.35	25.57333333	28.05333333	11.28	16.22333333	13.51	0.029	4.39	4.02	1.07375	282.8791453	0.062701439
1063	CL5	F5	84	23.43	6.866666667	24.45666667	29.16	12.25333333	16.38	14.64666667	0.03	3.99	3.88	1.780208333	350.5433947	0.108350645
1087	CL5	F5	84	22.77	6.7	25.16666667	28.25	12.43333333	17.09333333	15.83	0.027	4.35	3.8	2.019583333	326.2470487	0.123721232
1113	CL5	F5	86	25.77333333	6.79	23.40666667	29.12	10.77666667	17.55	15.89666667	0.029	4.47	3.76	2.799166667	336.655797	0.104190019
831	CL5	F5	86	23.59666667	6.993333333	22.79333333	26.79333333	10.38666667	16.61666667	15.80333333	0.034	4.6	4.08	2.26875	270.6213484	0.104714805
1358	CL5	F5	88	18.85	5.89	23.52	25.32	10.92	16.21	13.18	0.033	4.48	3.78	1.5025	292.846782	0.098660793
858	CL5	F5	88	18.59	5.213333333	19.82333333	23.93	10.23666667	14.85	12.31	0.031	4.65	3.86	1.063958333	323.7781242	0.082513654
