gCorLinLa	Cat	Cat2
SeedWidth.y - SeedLength.y	seed	allOther
SeedWidth.y - SeedWidth.y	seed	allOther
SeedWidth.y - NectarVolume.y	seed-nectar	allOther
SeedWidth.y - SugarConcentration.y	seed-nectar	allOther
SeedWidth.y - NectarySize.y	seed-nectar	allOther
NectarVolume.y - CorollaWidth.y	flower-nectar	allOther
NectarVolume.y - CorollaThroat.y	flower-nectar	allOther
NectarVolume.y - CorollaLength.y	flower-nectar	allOther
NectarVolume.y - OverallCorollaLength.y	flower-nectar	allOther
NectarVolume.y - SepalLength.y	flower-nectar	allOther
NectarVolume.y - LongestStamenLength.y	flower-nectar	allOther
NectarVolume.y - PistilLength.y	flower-nectar	allOther
NectarVolume.y - SeedMass.y	seed-nectar	allOther
NectarVolume.y - SeedLength.y	seed-nectar	allOther
NectarVolume.y - SeedWidth.y	seed-nectar	allOther
NectarVolume.y - NectarVolume.y	nectar	allOther
NectarVolume.y - SugarConcentration.y	nectar	allOther
NectarVolume.y - NectarySize.y	nectar	allOther
SugarConcentration.y - CorollaWidth.y	flower-nectar	allOther
SugarConcentration.y - CorollaThroat.y	flower-nectar	allOther
SugarConcentration.y - CorollaLength.y	flower-nectar	allOther
SugarConcentration.y - OverallCorollaLength.y	flower-nectar	allOther
SugarConcentration.y - SepalLength.y	flower-nectar	allOther
SugarConcentration.y - LongestStamenLength.y	flower-nectar	allOther
SugarConcentration.y - PistilLength.y	flower-nectar	allOther
SugarConcentration.y - SeedMass.y	seed-nectar	allOther
SugarConcentration.y - SeedLength.y	seed-nectar	allOther
SugarConcentration.y - SeedWidth.y	seed-nectar	allOther
SugarConcentration.y - NectarVolume.y	nectar	allOther
SugarConcentration.y - SugarConcentration.y	nectar	allOther
SugarConcentration.y - NectarySize.y	nectar	allOther
NectarySize.y - CorollaWidth.y	flower-nectar	allOther
NectarySize.y - CorollaThroat.y	flower-nectar	allOther
NectarySize.y - CorollaLength.y	flower-nectar	allOther
NectarySize.y - OverallCorollaLength.y	flower-nectar	allOther
NectarySize.y - SepalLength.y	flower-nectar	allOther
NectarySize.y - LongestStamenLength.y	flower-nectar	allOther
NectarySize.y - PistilLength.y	flower-nectar	allOther
NectarySize.y - SeedMass.y	seed-nectar	allOther
NectarySize.y - SeedLength.y	seed-nectar	allOther
NectarySize.y - SeedWidth.y	seed-nectar	allOther
NectarySize.y - NectarVolume.y	nectar	allOther
NectarySize.y - SugarConcentration.y	nectar	allOther
NectarySize.y - NectarySize.y	nectar	allOther
