Sp	Line	Ind	NectarVolume	SugarConcentation	TotalSugAmt	NectarySize
CL5	84	1063	1.780208333	350.5433947	569.3629473	0.108350645
CL5	84	1087	2.019583333	326.2470487	655.4891316	0.123721232
CL5	86	1113	2.799166667	336.655797	939.4032062	0.104190019
CL5	86	831	2.26875	270.6213484	615.6484021	0.104714805
CL5	88	1358	1.5025	292.846782	437.0273289	0.098660793
CL5	88	858	1.063958333	323.7781242	340.4766083	0.082513654
CL5	91	1222	0.711875	246.7464908	176.2977877	0.070759134
CL5	91	1325	2.367083333	345.4641747	824.9506272	0.089695471
CL5	92	1056	2.440833333	374.984114	918.8197162	0.117754033
CL5	92	686	1.512916667	323.8860223	487.7592097	0.10477585
CL5	94	1213	1.33875	306.3189652	410.8485287	0.09796262
CL5	94	1221	0.52	272.5145055	142.7656686	0.052809985
CL5	95	1147	3.0775	359.3842054	1111.058896	0.137556207
CL5	95	797	2.8409375	314.8871979	894.8301033	0.136387711
CL5	99	60	2.083958333	367.6676641	761.4593294	0.10387508
CL5	99	647	1.449166667	315.1386372	460.0378227	0.101367534
CL5	104	1389	2.046875	342.2351515	697.0477227	0.08925649
CL5	104	649	1.464166667	294.5375284	425.3727763	0.091356233
CL5	105	1057	1.14	327.2298751	378.694811	0.081090987
CL5	105	495	1.161041667	321.4390084	367.4576247	0.090450775
CL5	106	269	0.349166667	241.6934319	74.5599617	0.078515623
CL5	108	54	1.354375	283.0814958	379.5180689	0.070676431
CL5	108	907	1.152708333	284.5664911	354.0513466	0.060152928
CL5	109	1151	1.435833333	308.1189035	437.1533472	0.06727165
CL5	109	1164	1.231458333	273.0100536	353.8704695	0.111740501
CL5	112	1335	1.594375	307.0248847	529.899558	0.072326334
CL5	112	82	1.763333333	316.3739496	551.3889279	0.102880361
CL5	115	1333	1.83125	264.1730851	482.8660114	0.086902841
CL5	115	885	0.344375	278.2437893	100.1849485	0.04342189
CL5	118	1182	1.1075	262.5491891	300.5448276	0.079222814
CL5	118	702	0.666041667	300.0301563	193.3891741	0.053614338
CL5	120	1290	1.340833333	269.5460616	363.4159214	0.123994965
CL5	120	688	1.117916667	289.7713496	328.2380347	0.116232215
CL5	121	1093	0.96375	296.3739303	276.2715878	0.045174747
CL5	121	297	0.7475	264.3217132	195.6665048	0.052639444
CL5	122	1094	1.395208333	268.1031603	375.3839328	0.099380097
CL5	122	1252	0.468333333	225.8778245	107.5682258	0.072338152
CL5	124	236	0.934375	336.1385372	304.8770801	0.093102626
CL5	124	599	1.888125	298.6647057	562.7438005	0.093785713
CL5	125	1180	1.063958333	274.4440992	291.6135063	0.070585137
