QTL1_ID,QTL2_ID,Linkage_Group,Midpoint
60,115,7,143.13
58,121,5,35.1905
60,122,7,95.0365
62,127,11,32.157
64,129,14,172.5745
65,130,15,65.415
55,131,1,98.2195
56,132,1,205.3295
58,135,5,55.79875
60,137,7,198.85525
62,140,11,103.206
63,141,12,149.278
64,146,14,172.5745
67,80,1,220.181
69,83,4,53.216
69,84,4,61.0565
70,85,4,195.027
72,86,5,169.8725
73,88,7,11.78125
73,89,7,191.508
74,91,8,198.185
75,93,9,141.56725
77,95,13,56.69675
78,96,13,145.73325
79,97,14,139.7265
67,99,1,220.181
77,101,13,46.92425
78,101,13,145.73325
66,102,1,12.24
67,102,1,220.181
68,103,2,35.02275
69,104,4,50.58375
70,104,4,184.84575
76,105,11,28.4785
77,107,13,46.92425
67,109,1,220.181
66,111,1,16.74525
67,111,1,207.51975
70,113,4,161.68425
71,114,5,64.7245
73,115,7,117.69925
74,116,8,198.185
77,118,13,49.56475
78,119,13,141.85275
70,120,4,199.4985
71,121,5,63.0025
73,122,7,64.6625
74,123,8,198.185
75,125,9,141.20075
76,127,11,28.4785
77,128,13,46.92425
78,128,13,142.3425
79,129,14,142.11175
67,132,1,220.181
70,134,4,184.05925
71,135,5,63.0025
73,137,7,203.7985
74,139,8,211.99425
76,140,11,28.4785
77,142,13,26.31425
77,143,13,54.45075
78,144,13,139.664
80,99,1,222.9785
95,101,13,56.69675
96,101,13,145.73325
80,102,1,222.9785
81,103,2,81.909
83,104,4,53.216
84,104,4,63.577
85,104,4,198.329
95,107,13,56.69675
97,108,14,173.238
80,109,1,220.0985
80,111,1,206.94475
82,112,3,64.0485
89,115,7,191.508
90,116,8,57.44375
91,116,8,200.587
95,118,13,56.69675
96,119,13,141.85275
85,120,4,199.4985
90,123,8,57.44375
91,123,8,200.587
93,125,9,139.7145
94,126,10,54.26625
95,128,13,56.69675
96,128,13,142.3425
97,129,14,160.97975
80,132,1,221.45075
82,133,3,50.79925
85,134,4,184.05925
89,137,7,197.4475
90,138,8,39.41025
91,139,8,214.39625
95,143,13,56.69675
96,144,13,139.664
97,146,14,168.304
99,102,1,208.31425
100,106,12,120.93125
101,107,13,44.6955
99,109,1,194.52025
100,110,12,124.6095
99,111,1,181.3665
101,118,13,55.17025
101,119,13,129.31375
101,128,13,83.66125
99,132,1,211.393
100,141,12,149.278
101,142,13,24.0855
101,143,13,56.24225
101,144,13,127.125
102,109,1,194.31625
106,110,12,120.93125
102,111,1,111.3615
104,113,4,146.729
107,118,13,49.56475
104,120,4,199.4985
105,127,11,32.157
107,128,13,44.6955
108,129,14,174.47175
102,131,1,97.48625
102,132,1,211.393
104,134,4,184.05925
105,140,11,67.0605
107,142,13,24.0855
107,143,13,54.45075
108,146,14,174.47175
109,111,1,181.1625
109,132,1,210.04075
110,141,12,145.14
114,121,5,35.1905
115,122,7,64.6625
116,123,8,120.54975
118,128,13,55.17025
119,128,13,129.31375
111,131,1,97.48625
111,132,1,196.887
112,133,3,52.56425
114,135,5,55.79875
115,137,7,205.1035
116,138,8,39.41025
116,139,8,223.38425
118,142,13,28.95475
118,143,13,56.24225
119,144,13,127.125
120,134,4,188.53075
121,135,5,55.79875
123,138,8,39.41025
123,139,8,223.38425
127,140,11,32.157
128,142,13,21.79175
128,143,13,56.24225
128,144,13,127.125
129,146,14,169.53775
