Family	Ind	Accession	Sp	F2G	Rep	Seed Mass	Seed Length	Seed Width	Seed L/W Ratio
R17	41	CL5	F5	52	A	0.019	3.75	3.54	1.059
R17	42	CL5	F5	506	D	0.033	5.1	4.27	1.194
R17	43	CL5	F5	255	C	0.025	4.6	3.93	1.17
R17	44	CL5	F5	292	C	0.035	4.73	4.02	1.177
R17	45	CL5	F5	387b	C	0.018	3.68	3.56	1.034
R17	46	CL5	F5	1	D	0.031	4.59	4.03	1.139
R17	47	CL5	F5	415	C	0.03	4.44	4.16	1.067
R17	48	CL5	F5	238	A	0.031	5.06	4.17	1.213
R17	49	CL5	F5	421	B	0.024	3.82	3.77	1.013
R17	50	CL5	F5	281	D	0.027	4.68	4.11	1.139
R17	51	CL5	F5	407	D	0.025	4.16	3.66	1.137
R17	52	C	LS	S1	11	0.026	4.29	3.78	1.135
R17	53	CL5	F5	363	B	0.023	4.36	3.97	1.098
R17	54	CL5	F5	108	A	0.027	4.17	4.05	1.03
R17	55	CL5	F5	506	A	0.028	5.05	3.98	1.269
R17	56	CL5	F5	48	C	0.026	4.16	4.33	0.961
R17	57	CL5	F5	42	C	0.034	4.87	4.14	1.176
R17	58	CL5	F5	202	A	0.032	4.61	4.05	1.138
R17	59	CL5	F5	186	A	0.032	4.52	4.32	1.046
R17	60	CL5	F5	99	B	0.025	4.02	3.96	1.015
R17	61	CL5	F5	185s	A	0.024	4.07	3.78	1.077
R17	62	CL5	F5	228s	A	0.035	5.1	4.59	1.111
R17	63	CL5	F5	294	C	0.029	4.16	3.77	1.103
R17	64	CL5	F5	119s	A	0.027	4.4	3.83	1.149
R17	65	CL5	F5	289s	A	0.031	4.3	3.77	1.141
R17	66	CL5	F5	383	D	0.022	4.09	3.63	1.127
R17	67	CL5	F5	197	D	0.025	4.53	3.93	1.153
R17	68	CL5	F5	138	B	0.026	3.98	3.88	1.026
R17	69	CL5	F5	105	A	0.024	4.59	3.84	1.195
R17	70	CL5	F5	502	C	0.024	4.26	3.72	1.145
R17	71	CL5	F5	56	D	0.029	4.63	4.04	1.146
R17	72	CL5	F5	136	A	0.03	4.65	4.09	1.137
R17	73	C	LS	S1	34	0.023	4.14	3.81	1.087
R17	74	CL5	F5	222	D	0.028	4.24	4.17	1.017
R17	75	CL5	F5	396	B	0.027	4.31	3.86	1.117
R17	76	CL5	F5	434	D	0.025	4.11	3.93	1.046
R17	77	CL5	F5	44	C	0.02	4.13	4.14	0.998
R17	78	CL5	F5	136	D	0.028	4.6	3.99	1.153
R17	79	C	LS	S1	12	0.019	3.99	3.51	1.137
R17	80	CL5	F5	9	D	0.017	3.3	3.32	0.994
R17	81	CL5	F5	081d	A	0.029	4.64	3.75	1.237
R17	82	CL5	F5	112	C	0.031	4.31	3.85	1.119
R17	83	CL5	F5	287	D	0.026	4.58	3.83	1.196
R17	84	CL5	F5	386s	B	0.027	4.37	3.78	1.156
R17	85	CL5	F5	364s	B	0.029	4.92	4.28	1.15
R17	86	CL5	F5	141	A	0.029	4.3	3.76	1.144
R17	87	CL5	F5	330	C	0.023	3.74	3.65	1.025
R17	88	CL5	F5	291	B	0.025	4.22	3.78	1.116
R17	89	CL5	F5	220	D	0.035	4.78	4.1	1.166
R17	90	CL5	F5	433s	D	0.028	4.21	3.68	1.144
R17	91	CL5	F5	11	D	0.034	4.57	4.24	1.078
R17	92	CL5	F5	417	D	0.023	4.08	3.5	1.166
R17	93	CL5	F5	482	D	0.023	4.05	3.76	1.077
R17	94	CL5	F5	495s	C	0.026	4.4	4.11	1.071
R17	95	CL5	F5	454	A	0.029	4.53	4.14	1.094
R17	96	CL5	F5	290	A	0.034	4.97	4.14	1.2
R17	97	CL5	F5	338b	D	0.025	4.08	3.47	1.176
R17	98	CL5	F5	355	A	0.029	4.01	4.11	0.976
R17	99	L	LS	S1	43	0.031	4.85	4.18	1.16
R17	100	CL5	F5	500	B	0.031	4.59	4.05	1.133
R17	101	CL5	F5	48	D	0.036	4.48	4.2	1.067
R17	102	CL5	F5	075s	A	0.029	4.52	3.99	1.133
R17	103	CL5	F5	132	A	0.031	4.54	3.95	1.149
R17	104	CL5	F5	138	C	0.03	4.17	4.22	0.988
R17	105	CL5	F5	220	B	0.027	4.87	4.13	1.179
R17	106	CL5	F5	287	A	0.029	4.62	3.98	1.161
R17	107	C	LS	S1	35	0.027	4.39	3.94	1.114
R17	108	CL5	F5	203	B	0.031	4.52	4.32	1.046
R17	109	L	LS	S1	12	0.031	4.71	4.2	1.121
R17	110	CL5	F5	24	A	0.032	3.91	4.09	0.956
R17	111	CL5	F5	184	B	0.027	4.44	4.01	1.107
R17	112	CL5	F5	49	A	0.04	5.1	4.33	1.178
R17	113	CL5	F5	093s	A	0.037	4.32	3.94	1.096
R17	114	CL5	F5	391	A	0.032	4.66	3.97	1.174
R17	115	CL5	F5	207	B	0.024	4.88	3.73	1.308
R17	116	CL5	F5	369s	C	0.029	4.25	4.08	1.042
R17	117	CL5	F5	41	C	0.025	4.27	4.37	0.977
R17	118	CL5	F5	264	D	0.026	4.29	3.83	1.12
R17	119	CL5	F5	452	D	0.023	3.91	3.55	1.101
R17	120	CL5	F5	143	D	0.03	4.37	4.04	1.082
R17	121	CL5	F5	74	A	0.032	4.84	4.19	1.155
R17	122	CL5	F5	368	A	0.027	4.33	3.91	1.107
R17	123	C	LS	S1	42	0.027	4.41	3.86	1.142
R17	124	CL5	F5	157	D	0.03	4.58	3.86	1.187
R17	125	CL5	F5	491b	B	0.026	4.34	4	1.085
R17	126	CL5	F5	155	B	0.031	4.44	3.96	1.121
R17	127	CL5	F5	130	C	0.028	4.36	4.2	1.038
R17	128	CL5	F5	434	C	0.022	3.83	3.76	1.019
R17	129	CL5	F5	361	D	0.024	4.32	3.91	1.105
R17	130	CL5	F5	41	A	0.024	4.22	3.88	1.088
R17	131	CL5	F5	80	C	0.029	4.2	3.85	1.091
R17	132	CL5	F5	200	A	0.025	4.39	3.82	1.149
R17	133	CL5	F5	459	C	0.031	4.98	4.46	1.117
R17	134	CL5	F5	192	A	0.034	4.87	4.48	1.087
R17	135	CL5	F5	288	A	0.026	4.66	3.82	1.22
R17	136	CL5	F5	92	D	0.038	4.76	4.06	1.172
R17	137	CL5	F5	385	D	0.027	4.31	3.94	1.094
R17	138	CL5	F5	209	D	0.031	4.21	4.08	1.032
R17	139	CL5	F5	368	D	0.029	4.49	4.11	1.092
R17	140	CL5	F5	13	B	0.024	4.18	3.59	1.164
R17	141	CL5	F5	258	A	0.028	4.44	3.71	1.197
R17	142	CL5	F5	19	A	0.029	4.39	4	1.098
R17	143	CL5	F5	126	C	0.034	4.8	4.42	1.086
R17	144	CL5	F5	453s	C	0.023	4.44	3.93	1.13
R17	145	CL5	F5	090b	B	0.028	4.34	3.93	1.104
R17	146	CL5	F5	491b	A	0.026	4.38	4	1.095
R17	147	CL5	F5	237	B	0.027	4.66	4.02	1.159
R17	148	CL5	F5	480s	A	0.02	4.27	4.17	1.024
R17	149	CL5	F5	184	D	0.035	4.69	4.18	1.122
R17	150	CL5	F5	493s	B	0.027	4.38	3.99	1.098
R17	151	CL5	F5	418	A	0.028	4.21	3.78	1.114
R17	152	CL5	F5	152	B	0.037	4.69	4.23	1.109
R17	153	CL5	F5	407	B	0.029	4.37	3.74	1.168
R17	154	CL5	F5	274	B	0.03	4.4	4.32	1.019
R17	155	CL5	F5	70	B	0.025	4.1	3.52	1.165
R17	156	CL5	F5	281	C	0.032	4.9	4.2	1.167
R17	157	L	LS	S1	31	0.029	4.45	4.66	0.955
R17	158	CL5	F5	333	A	0.028	3.98	3.65	1.09
R17	159	CL5	F5	121	D	0.026	4.06	3.6	1.128
R17	160	CL5	F5	59	D	0.026	4.6	3.9	1.179
R17	161	CL5	F5	186	B	0.032	4.74	4.3	1.102
R17	162	CL5	F5	415	B	0.027	4.5	4.16	1.082
R17	163	CL5	F5	287	B	0.028	4.52	4.06	1.113
R17	164	CL5	F5	482	B	0.03	4.45	4.07	1.093
R17	165	CL5	F5	375	B	0.02	4.63	4.11	1.127
R17	166	CL5	F5	469	A	0.024	4.71	4.05	1.163
R17	167	CL5	F5	201	B	0.029	4.44	4.21	1.055
R17	168	CL5	F5	279	A	0.028	4.61	4.11	1.122
R17	169	CL5	F5	366	B	0.031	4.59	4.36	1.053
R17	170	CL5	F5	439	A	0.025	4.09	3.92	1.043
R17	171	CL5	F5	424	A	0.019	3.73	3.46	1.078
R17	172	C	LS	S1	8	0.019	3.9	3.58	1.089
R17	173	CL5	F5	229	B	0.037	4.92	4.59	1.072
R17	174	CL5	F5	433s	A	0.031	4.27	3.9	1.095
R17	175	CL5	F5	414	C	0.027	4.31	3.76	1.146
R17	176	CL5	F5	122	D	0.026	4.49	4.03	1.114
R17	177	CL5	F5	458s	D	0.033	4.42	4.49	0.984
R17	178	CL5	F5	344	A	0.032	5.02	4.26	1.178
R17	179	CL5	F5	289s	B	0.026	4.15	4.06	1.022
R17	180	CL5	F5	032s	D	0.034	4.59	4.48	1.025
R17	181	CL5	F5	406s	A	0.023	4.1	3.69	1.111
R17	182	CL5	F5	473s	D	0.024	4.1	4.05	1.012
R17	183	CL5	F5	200	D	0.023	4.53	3.85	1.177
R17	184	CL5	F5	247	C	0.021	3.71	3.81	0.974
R17	185	L	LS	S1	47	0.029	4.61	4.16	1.108
R17	186	CL5	F5	332	B	0.028	4.09	3.68	1.111
R17	187	CL5	F5	335	C	0.029	4.11	3.75	1.096
R17	188	CL5	F5	151	B	0.033	4.86	3.95	1.23
R17	189	CL5	F5	303	C	0.026	4.54	3.81	1.192
R17	190	CL5	F5	1	C	0.034	4.28	4.2	1.019
R17	191	CL5	F5	138	D	0.027	3.9	3.98	0.98
R17	192	CL5	F5	260	B	0.037	4.64	4.19	1.107
R17	193	CL5	F5	474s	B	0.025	4.37	4.03	1.084
R17	194	CL5	F5	83	D	0.028	4.4	3.76	1.17
R17	195	C	LS	S1	32	0.026	4.16	3.95	1.053
R17	196	CL5	F5	039s	D	0.028	4.4	4.15	1.06
R17	197	CL5	F5	177	D	0.031	3.7	3.95	0.937
R17	198	CL5	F5	272	C	0.029	4.41	4.15	1.063
R17	199	CL5	F5	50	C	0.04	5.56	4.61	1.206
R17	200	CL5	F5	500	D	0.028	4.4	4.17	1.055
R17	201	CL5	F5	353	C	0.028	4.66	4.03	1.156
R17	202	CL5	F5	492b	C	0.025	4.44	4.18	1.062
R17	203	CL5	F5	433s	B	0.027	4.07	3.8	1.071
R17	204	CL5	F5	328	D	0.028	4.09	4.03	1.015
R17	205	CL5	F5	272	B	0.035	4.95	4.26	1.162
R17	206	CL5	F5	126	B	0.033	4.56	4.33	1.053
R17	207	CL5	F5	413	C	0.03	4.2	3.97	1.058
R17	208	CL5	F5	502	D	0.029	4.51	3.83	1.178
R17	209	CL5	F5	465s	A	0.027	4.56	3.88	1.175
R17	210	CL5	F5	032s	A	0.026	4.52	4.09	1.105
R17	211	CL5	F5	451	A	0.028	4.23	3.86	1.096
R17	212	CL5	F5	279	C	0.029	4.65	4.11	1.131
R17	213	CL5	F5	305b	B	0.026	4.27	4.06	1.052
R17	214	CL5	F5	205	B	0.025	4.35	3.96	1.098
R17	215	CL5	F5	392	A	0.026	4.3	3.9	1.103
R17	216	CL5	F5	234	A	0.027	4.58	4.02	1.139
R17	217	CL5	F5	271	A	0.03	4.84	4.12	1.175
R17	218	CL5	F5	386s	C	0.027	4.32	3.81	1.134
R17	219	CL5	F5	290	D	0.035	4.66	4.11	1.134
R17	220	C	LS	S1	50	0.027	4.26	4.1	1.039
R17	221	CL5	F5	391	C	0.026	4.3	3.62	1.188
R17	222	CL5	F5	353	B	0.022	4.55	3.86	1.179
R17	223	CL5	F5	490b	B	0.03	4.65	4.36	1.067
R17	224	CL5	F5	115	B	0.032	4.42	3.84	1.151
R17	225	CL5	F5	143	A	0.029	4.33	3.96	1.093
R17	226	CL5	F5	362s	A	0.03	4.56	3.91	1.166
R17	227	CL5	F5	493s	D	0.026	4.03	4.56	0.884
R17	228	CL5	F5	294	B	0.028	4.34	3.98	1.09
R17	229	CL5	F5	271	B	0.029	4.62	4.15	1.113
R17	230	CL5	F5	391	B	0.028	4.67	4.03	1.159
R17	231	CL5	F5	12	D	0.029	4.35	3.91	1.113
R17	232	CL5	F5	189d	B	0.033	4.65	4.24	1.097
R17	233	CL5	F5	71	B	0.027	4.4	4.01	1.097
R17	234	CL5	F5	426b	D	0.026	3.94	3.92	1.005
R17	235	L	LS	S1	4	0.028	4.52	4	1.13
R17	236	CL5	F5	124	C	0.028	4.37	4.53	0.965
R17	237	CL5	F5	452	C	0.025	4.18	3.91	1.069
R17	238	CL5	F5	286	C	0.027	4.12	4.56	0.904
R17	239	CL5	F5	385	A	0.029	4.36	4.06	1.074
R17	240	CL5	F5	19	B	0.028	4.27	4.13	1.034
R17	241	C	LS	S1	7	0.028	4.41	3.83	1.151
R17	242	L	LS	S1	25	0.027	4.65	3.99	1.165
R17	243	C	LS	S1	43	0.028	4.43	3.91	1.133
R17	244	CL5	F5	109	A	0.035	4.7	4.05	1.16
R17	245	CL5	F5	503	B	0.032	4.9	4.43	1.106
R17	246	CL5	F5	198	C	0.035	4.79	4.91	0.976
R17	247	CL5	F5	327	A	0.024	4.14	3.88	1.067
R17	248	CL5	F5	344	C	0.034	5.04	4.43	1.138
R17	249	CL5	F5	442	B	0.022	4.23	3.67	1.153
R17	250	CL5	F5	443w	C	0.03	4.26	4.2	1.014
R17	251	CL5	F5	120	A	0.036	4.88	4.1	1.19
R17	252	CL5	F5	502	B	0.022	4.23	3.88	1.09
R17	253	CL5	F5	255	D	0.023	4.52	3.96	1.141
R17	254	CL5	F5	450	B	0.026	4.2	4.02	1.045
R17	255	CL5	F5	368	B	0.024	4.55	4.08	1.115
R17	256	CL5	F5	285	B	0.026	4.3	4.2	1.024
R17	257	CL5	F5	371	C	0.023	4.24	3.84	1.104
R17	258	CL5	F5	143	B	0.029	4.31	4.06	1.062
R17	259	L	LS	S1	30	0.03	4.65	4.14	1.123
R17	260	CL5	F5	077b	D	0.022	3.68	3.4	1.082
R17	261	CL5	F5	375	D	0.022	4.6	4.02	1.144
R17	262	C	LS	S1	14	0.027	4.4	3.96	1.111
R17	263	CL5	F5	42	B	0.033	4.57	4.09	1.117
R17	264	CL5	F5	371	D	0.024	4.28	3.91	1.095
R17	265	CL5	F5	453s	B	0.027	4.05	4.46	0.908
R17	266	CL5	F5	176	A	0.029	4.79	4.12	1.163
R17	267	CL5	F5	457	B	0.021	4.02	3.85	1.044
R17	268	CL5	F5	473s	B	0.022	3.9	4.05	0.963
R17	269	CL5	F5	106	A	0.025	4.06	3.9	1.041
R17	270	CL5	F5	496s	D	0.018	3.74	3.67	1.019
R17	271	CL5	F5	362s	D	0.028	4.47	4.04	1.106
R17	272	CL5	F5	369s	B	0.028	4.34	3.96	1.096
R17	273	C	LS	S1	4	0.02	3.97	3.59	1.106
R17	274	CL5	F5	258	D	0.026	3.9	3.65	1.068
R17	275	CL5	F5	178s	D	0.034	4.45	4.18	1.065
R17	276	CL5	F5	291	A	0.024	3.86	3.68	1.049
R17	277	CL5	F5	330	A	0.03	4.12	4.03	1.022
R17	278	CL5	F5	226	C	0.022	4.29	3.79	1.132
R17	279	CL5	F5	496s	C	0.021	3.93	3.8	1.034
R17	280	CL5	F5	1	A	0.036	4.07	4.25	0.958
R17	281	CL5	F5	406s	B	0.025	4.1	3.75	1.093
R17	282	CL5	F5	99	C	0.028	4.09	3.6	1.136
R17	283	CL5	F5	440s	C	0.029	4.8	4.22	1.137
R17	284	CL5	F5	146	A	0.03	4.28	3.86	1.109
R17	285	CL5	F5	138	A	0.03	3.87	3.98	0.972
R17	286	CL5	F5	130	B	0.03	4.45	4.06	1.096
R17	287	CL5	F5	365	A	0.026	4.14	4.2	0.986
R17	288	CL5	F5	379	A	0.034	4.96	4.47	1.11
R17	289	CL5	F5	417	A	0.034	5.21	4.04	1.29
R17	290	CL5	F5	285	A	0.025	4.39	3.98	1.103
R17	291	CL5	F5	297	C	0.026	4.18	3.85	1.086
R17	292	CL5	F5	288	D	0.026	4.47	3.82	1.17
R17	293	CL5	F5	379	C	0.031	4.67	4.33	1.079
R17	294	CL5	F5	218	D	0.034	4.58	4.33	1.058
R17	295	CL5	F5	277	C	0.023	4.42	3.86	1.145
R17	296	CL5	F5	284	B	0.032	4.42	4.31	1.026
R17	297	CL5	F5	121	B	0.026	3.84	3.11	1.235
R17	298	CL5	F5	145	B	0.03	4.9	3.96	1.237
R17	299	CL5	F5	195	B	0.022	4.27	4.12	1.036
R17	300	L	LS	S1	45	0.028	4.6	4.12	1.117
R17	301	CL5	F5	437	A	0.02	3.83	3.35	1.143
R17	302	CL5	F5	117s	B	0.028	4.17	4.06	1.027
R17	303	CL5	F5	125	B	0.026	4.13	3.99	1.035
R17	304	CL5	F5	183	D	0.026	4.45	3.83	1.162
R17	305	CL5	F5	392	C	0.027	4.16	3.7	1.124
R17	306	L	LS	S1	27	0.03	4.8	4.04	1.188
R17	307	CL5	F5	214	B	0.034	4.77	4.15	1.149
R17	308	CL5	F5	217	B	0.025	4.14	3.95	1.048
R17	309	CL5	F5	71	C	0.03	4.67	4.12	1.133
R17	310	CL5	F5	237	D	0.022	4.5	3.75	1.2
R17	311	L	LS	S1	10	0.027	4.67	4.12	1.133
R17	312	CL5	F5	413	D	0.031	4.35	3.95	1.101
R17	313	CL5	F5	145	A	0.033	4.95	4.1	1.207
R17	314	CL5	F5	8	C	0.037	4.9	4.19	1.169
R17	315	CL5	F5	505s	D	0.021	3.94	4.05	0.973
R17	316	CL5	F5	203	D	0.03	4.45	4.28	1.04
R17	317	CL5	F5	077b	C	0.026	3.9	3.94	0.99
R17	318	CL5	F5	217	A	0.019	4.18	3.78	1.106
R17	319	CL5	F5	107s	C	0.029	4.24	4.05	1.047
R17	320	CL5	F5	21	A	0.032	5.07	4.4	1.152
R17	321	CL5	F5	375	A	0.028	4.85	4.15	1.169
R17	322	CL5	F5	386s	A	0.028	4.62	4.12	1.121
R17	323	CL5	F5	209	A	0.031	4.27	4.06	1.052
R17	324	CL5	F5	178s	C	0.036	4.54	4.42	1.027
R17	325	CL5	F5	122	C	0.03	4.55	4.01	1.135
R17	326	CL5	F5	44	D	0.026	4.43	4.42	1.002
R17	327	CL5	F5	503	A	0.03	5.02	4.21	1.192
R17	328	CL5	F5	250	D	0.032	5.02	4.18	1.201
R17	329	CL5	F5	112	B	0.029	4.07	3.7	1.1
R17	330	CL5	F5	421	C	0.022	3.88	3.81	1.018
R17	331	CL5	F5	480s	B	0.034	4.64	4.51	1.029
R17	332	CL5	F5	74	B	0.034	4.94	4.01	1.232
R17	333	CL5	F5	158	B	0.03	3.85	3.77	1.021
R17	334	CL5	F5	423	B	0.03	4.45	4.03	1.104
R17	335	C	LS	S1	22	0.03	4.32	4.45	0.971
R17	336	CL5	F5	293	C	0.025	4.68	4.02	1.164
R17	337	CL5	F5	83	A	0.028	4.45	3.84	1.159
R17	338	CL5	F5	45	B	0.035	4.87	4.32	1.127
R17	339	CL5	F5	282	B	0.03	4.61	4.02	1.147
R17	340	CL5	F5	157	C	0.031	4.42	4.84	0.913
R17	341	CL5	F5	86	B	0.034	4.82	3.96	1.217
R17	342	CL5	F5	13	C	0.027	3.87	3.86	1.003
R17	343	CL5	F5	460s	B	0.021	4.12	4.28	0.963
R17	344	CL5	F5	479s	B	0.033	4.85	4.4	1.102
R17	345	CL5	F5	383	A	0.021	3.84	3.55	1.082
R17	346	CL5	F5	142	A	0.034	4.7	4.11	1.144
R17	347	CL5	F5	9	B	0.02	3.77	3.36	1.122
R17	348	CL5	F5	176	B	0.034	4.77	3.83	1.245
R17	349	CL5	F5	192	C	0.039	5.13	4.73	1.085
R17	350	CL5	F5	379	D	0.026	4.75	4.35	1.092
R17	351	CL5	F5	141	B	0.026	3.9	3.96	0.985
R17	352	CL5	F5	341s	A	0.027	4.56	3.87	1.178
R17	353	L	LS	S1	49	0.031	4.63	4.05	1.143
R17	354	CL5	F5	337	A	0.027	4.55	4.42	1.029
R17	355	CL5	F5	59	B	0.025	4.76	3.92	1.214
R17	356	CL5	F5	200	C	0.022	4.38	3.89	1.126
R17	357	CL5	F5	38	C	0.035	4.95	4.19	1.181
R17	358	CL5	F5	456	B	0.035	4.9	4.32	1.134
R17	359	CL5	F5	165	A	0.032	4.3	3.69	1.165
R17	360	CL5	F5	277	D	0.029	4.29	3.98	1.078
R17	361	CL5	F5	157	B	0.032	4.65	3.99	1.165
R17	362	CL5	F5	74	D	0.037	5.18	4.29	1.207
R17	363	CL5	F5	142	D	0.032	4.53	4.05	1.119
R17	364	CL5	F5	213s	A	0.029	4.46	3.99	1.118
R17	365	CL5	F5	112	D	0.027	4.21	3.63	1.16
R17	366	CL5	F5	44	B	0.026	4.56	4.06	1.123
R17	367	CL5	F5	025s	D	0.024	3.89	3.75	1.037
R17	368	CL5	F5	231	C	0.029	4.6	4.34	1.06
R17	369	CL5	F5	126	D	0.032	4.68	4.03	1.161
R17	370	CL5	F5	375	C	0.028	5.02	4.11	1.221
R17	371	CL5	F5	387b	D	0.026	3.94	3.87	1.018
R17	372	CL5	F5	76	C	0.033	4.96	4.07	1.219
R17	373	CL5	F5	503	D	0.028	4.85	4.12	1.177
R17	374	CL5	F5	014s	D	0.032	4.42	4.41	1.002
R17	375	CL5	F5	183	A	0.027	4.24	3.83	1.107
R17	376	CL5	F5	335	A	0.025	4.21	3.57	1.179
R17	377	CL5	F5	182	C	0.024	4.35	3.74	1.163
R17	378	CL5	F5	49	B	0.042	4.98	4.46	1.117
R17	379	CL5	F5	226	D	0.031	4.64	4.18	1.11
R17	380	CL5	F5	457	D	0.023	3.93	3.97	0.99
R17	381	CL5	F5	95	B	0.029	4.56	4.03	1.132
R17	382	CL5	F5	228s	C	0.032	4.78	4.24	1.127
R17	383	CL5	F5	444	B	0.027	4.53	3.9	1.162
R17	384	CL5	F5	147	A	0.032	4.25	4.1	1.037
R17	385	CL5	F5	413	B	0.03	4.33	3.97	1.091
R17	386	CL5	F5	294	D	0.031	4.26	4.11	1.036
R17	387	CL5	F5	7	D	0.032	4.1	4	1.025
R17	388	CL5	F5	351	D	0.026	4.47	4.22	1.059
R17	389	CL5	F5	7	B	0.029	4.32	4.04	1.069
R17	390	CL5	F5	277	B	0.031	4.54	4.38	1.037
R17	391	C	LS	S1	27	0.02	3.87	3.89	0.995
R17	392	CL5	F5	355	B	0.031	4.4	3.89	1.131
R17	393	CL5	F5	45	C	0.033	4.91	4.22	1.164
R17	394	CL5	F5	211	D	0.028	4.48	4.08	1.098
R17	395	CL5	F5	72	D	0.03	4.73	4.13	1.145
R17	396	CL5	F5	417	C	0.034	4.95	4.01	1.234
R17	397	CL5	F5	490b	D	0.03	4.71	4.24	1.111
R17	398	CL5	F5	153	A	0.032	4.54	4.07	1.115
R17	399	CL5	F5	432	C	0.025	4.21	3.76	1.12
R17	400	CL5	F5	178s	A	0.036	4.4	4.12	1.068
R17	401	CL5	F5	213s	B	0.026	4.29	3.85	1.114
R17	402	CL5	F5	91	B	0.029	4.69	4.09	1.147
R17	403	CL5	F5	150	C	0.023	3.73	3.53	1.057
R17	404	CL5	F5	161	B	0.034	4.56	4.09	1.115
R17	405	CL5	F5	358	A	0.032	4.81	4.2	1.145
R17	406	C	LS	S1	19	0.035	4.87	4.8	1.015
R17	407	CL5	F5	262	C	0.026	4.55	3.91	1.164
R17	408	CL5	F5	62	C	0.029	4.88	4.23	1.154
R17	409	CL5	F5	081d	D	0.032	4.77	3.97	1.202
R17	410	CL5	F5	64	C	0.028	4.25	4.08	1.042
R17	411	CL5	F5	359	B	0.031	4.58	4.22	1.085
R17	412	CL5	F5	186	D	0.031	4.75	4.3	1.105
R17	413	CL5	F5	039s	C	0.028	4.12	4.13	0.998
R17	414	CL5	F5	454	D	0.029	4.56	4.19	1.088
R17	415	CL5	F5	101s	C	0.026	4.53	3.88	1.168
R17	416	CL5	F5	469	B	0.025	4.57	3.91	1.169
R17	417	CL5	F5	414	D	0.034	4.41	4.47	0.987
R17	418	CL5	F5	284	A	0.034	4.56	4.62	0.987
R17	419	CL5	F5	151	A	0.027	4.45	3.69	1.206
R17	420	CL5	F5	341s	C	0.028	4.6	3.94	1.168
R17	421	CL5	F5	184	C	0.031	4.22	4.03	1.047
R17	422	CL5	F5	88	A	0.037	4.68	4.06	1.153
R17	423	CL5	F5	281	A	0.028	4.62	3.95	1.17
R17	424	CL5	F5	155	D	0.03	4.37	3.76	1.162
R17	425	CL5	F5	109	C	0.031	4.8	3.97	1.209
R17	426	CL5	F5	039s	B	0.028	4.27	4.01	1.065
R17	427	CL5	F5	192	D	0.034	4.7	4.46	1.054
R17	428	CL5	F5	278	D	0.024	4.01	3.85	1.042
R17	429	CL5	F5	162	C	0.03	4.35	4.08	1.066
R17	430	CL5	F5	133	B	0.028	4.58	4.04	1.134
R17	431	CL5	F5	286	D	0.027	3.94	3.95	0.997
R17	432	CL5	F5	58	D	0.031	4.61	4.03	1.144
R17	433	CL5	F5	368	C	0.032	4.67	3.97	1.176
R17	434	CL5	F5	299	B	0.029	4.24	4.05	1.047
R17	435	CL5	F5	025s	C	0.024	3.9	3.65	1.068
R17	436	CL5	F5	328	A	0.028	4.42	4.2	1.052
R17	437	CL5	F5	49	D	0.04	5.08	4.48	1.134
R17	438	CL5	F5	438	D	0.029	4.71	4.1	1.149
R17	439	CL5	F5	415	D	0.025	4.13	3.97	1.04
R17	440	CL5	F5	400	C	0.025	4.65	3.72	1.25
R17	441	CL5	F5	507	B	0.023	4.17	3.96	1.053
R17	442	CL5	F5	093s	B	0.041	4.52	4.66	0.97
R17	443	C	LS	S1	47	0.022	4.04	3.73	1.083
R17	444	L	LS	S1	6	0.029	4.2	4.21	0.998
R17	445	CL5	F5	303	D	0.032	4.67	4.01	1.165
R17	446	CL5	F5	29	D	0.024	4.22	4.24	0.995
R17	447	CL5	F5	331	C	0.026	4.25	4.16	1.022
R17	448	CL5	F5	69	A	0.026	4.81	3.85	1.249
R17	449	CL5	F5	50	D	0.043	5.04	5.24	0.962
R17	450	CL5	F5	402	A	0.028	4.2	3.88	1.082
R17	451	CL5	F5	218	C	0.033	4.65	4.25	1.094
