Family	Ind	Accession	Sp	F2G	Rep	Seed Mass	Seed Length	Seed Width	Seed L/W Ratio
R17	1208	CL5	F5	278	A	0.024	4.08	3.85	1.06
R17	1209	CL5	F5	297	A	0.022	3.94	3.66	1.077
R17	1210	CL5	F5	139	A	0.026	4.26	3.88	1.098
R17	1211	C	LS	S1	3	0.027	4.53	3.94	1.15
R17	1212	CL5	F5	247	A	0.028	4.46	3.95	1.129
R17	1213	CL5	F5	94	A	0.037	4.58	4	1.145
R17	1214	L	LS	S1	28	0.031	4.62	4.12	1.121
R17	1215	CL5	F5	257	D	0.036	5.01	4.8	1.044
R17	1216	CL5	F5	302b	B	0.026	3.68	3.53	1.042
R17	1217	CL5	F5	458s	A	0.026	4.24	4.04	1.05
R17	1218	CL5	F5	495s	A	0.026	4.54	4.13	1.099
R17	1219	CL5	F5	273	C	0.039	4.79	4.54	1.055
R17	1220	CL5	F5	327	D	0.024	4.11	3.71	1.108
R17	1221	CL5	F5	94	D	0.032	4.47	4.3	1.04
R17	1222	CL5	F5	91	C	0.029	4.53	4.04	1.121
R17	1223	CL5	F5	264	A	0.03	4.54	4.07	1.115
R17	1224	CL5	F5	462	D	0.024	4.39	4.36	1.007
R17	1225	CL5	F5	45	A	0.032	4.91	4.24	1.158
R17	1226	CL5	F5	369s	D	0.026	4.14	4.08	1.015
R17	1227	CL5	F5	163d	A	0.027	4.15	3.84	1.081
R17	1228	CL5	F5	341s	B	0.026	4.51	3.95	1.142
R17	1229	CL5	F5	30	B	0.027	4.22	4.02	1.05
R17	1230	CL5	F5	15	D	0.023	3.83	3.72	1.03
R17	1231	CL5	F5	222	B	0.029	4.66	3.72	1.253
R17	1232	C	LS	S1	13	0.027	4.5	3.91	1.151
R17	1233	CL5	F5	440s	D	0.029	4.86	4.14	1.174
R17	1234	CL5	F5	290	C	0.035	4.77	4.18	1.141
R17	1235	CL5	F5	362s	B	0.028	4.64	3.86	1.202
R17	1236	CL5	F5	300	C	0.028	4.6	3.79	1.214
R17	1237	CL5	F5	332	C	0.028	4.06	4.13	0.983
R17	1238	CL5	F5	273	D	0.038	4.68	4.54	1.031
R17	1239	CL5	F5	198	A	0.039	5.09	4.58	1.111
R17	1240	CL5	F5	33	B	0.022	4.08	3.66	1.115
R17	1241	CL5	F5	146	D	0.03	4.14	3.66	1.131
R17	1242	CL5	F5	452	B	0.025	4.01	3.76	1.066
R17	1243	CL5	F5	69	B	0.035	5.1	4.2	1.214
R17	1244	CL5	F5	415	A	0.032	4.75	4.23	1.123
R17	1245	CL5	F5	363	C	0.018	4.07	3.81	1.068
R17	1246	CL5	F5	148	A	0.019	3.74	3.46	1.081
R17	1247	CL5	F5	479s	A	0.036	5.05	4.49	1.125
R17	1248	CL5	F5	474s	D	0.03	4.54	4.19	1.084
R17	1249	C	LS	S1	2	0.025	4.27	3.86	1.106
R17	1250	CL5	F5	12	A	0.028	4.42	3.87	1.142
R17	1251	CL5	F5	119s	D	0.031	4.08	3.75	1.088
R17	1252	CL5	F5	122	A	0.028	4.27	4.07	1.049
R17	1253	CL5	F5	068s	A	0.033	4.85	4.46	1.087
R17	1254	CL5	F5	11	B	0.031	4.27	4.01	1.065
R17	1255	CL5	F5	231	B	0.031	4.87	4.21	1.157
R17	1256	CL5	F5	247	B	0.022	4.06	3.7	1.097
R17	1257	CL5	F5	276	D	0.031	4.31	3.93	1.097
R17	1258	CL5	F5	244	B	0.031	4.46	4.2	1.062
R17	1259	CL5	F5	502	A	0.025	4.5	3.92	1.148
R17	1260	L	LS	S1	38	0.03	4.51	4.21	1.071
R17	1261	CL5	F5	270	B	0.033	4.65	3.95	1.177
R17	1262	CL5	F5	285	C	0.025	4.65	4.1	1.134
R17	1263	CL5	F5	332	D	0.034	4.51	4.02	1.122
R17	1264	CL5	F5	043s	A	0.028	4.56	4.12	1.107
R17	1265	CL5	F5	101s	A	0.025	4.45	3.75	1.187
R17	1266	CL5	F5	464	B	0.022	4.33	3.72	1.164
R17	1267	CL5	F5	396	D	0.03	4.82	3.94	1.223
R17	1268	CL5	F5	42	A	0.036	5.17	4.31	1.2
R17	1269	CL5	F5	255	A	0.028	4.73	3.98	1.188
R17	1270	CL5	F5	496s	A	0.018	3.76	3.68	1.022
R17	1271	CL5	F5	386s	D	0.024	4.43	3.67	1.207
R17	1272	CL5	F5	49	C	0.042	5.14	4.82	1.066
R17	1273	C	LS	S1	45	0.018	3.9	3.57	1.092
R17	1274	CL5	F5	15	A	0.025	3.8	3.76	1.011
R17	1275	CL5	F5	501	C	0.023	4.09	3.93	1.041
R17	1276	L	LS	S1	19	0.027	4.36	4.1	1.063
R17	1277	CL5	F5	151	D	0.029	4.27	3.77	1.133
R17	1278	CL5	F5	410	A	0.03	4.47	3.94	1.135
R17	1279	CL5	F5	405	A	0.025	4.34	3.67	1.183
R17	1280	CL5	F5	165	D	0.027	3.78	3.26	1.16
R17	1281	CL5	F5	144	A	0.029	4.47	3.87	1.155
R17	1282	CL5	F5	76	D	0.032	4.89	4.15	1.178
R17	1283	CL5	F5	200	B	0.021	4.14	3.65	1.134
R17	1284	CL5	F5	153	D	0.034	4.37	4.34	1.007
R17	1285	L	LS	S1	33	0.032	4.69	4.23	1.109
R17	1286	CL5	F5	80	A	0.027	4.2	4.86	0.864
R17	1287	CL5	F5	195	D	0.025	4.06	4.28	0.949
R17	1288	CL5	F5	331	B	0.024	4.1	4.22	0.972
R17	1289	L	LS	S1	50	0.025	4.49	3.84	1.169
R17	1290	CL5	F5	120	B	0.038	5.04	4.3	1.172
R17	1291	CL5	F5	404	A	0.025	4.75	4.18	1.136
R17	1292	CL5	F5	70	C	0.025	4.29	3.77	1.138
R17	1293	CL5	F5	185s	B	0.026	4.27	3.81	1.121
R17	1294	CL5	F5	202	C	0.022	4.19	3.67	1.142
R17	1295	CL5	F5	274	A	0.029	4.27	4.32	0.988
R17	1296	CL5	F5	409s	B	0.024	4.08	4	1.02
