Ind	Sp	Line
536	CL5	107s
537	CL5	447
538	CL5	53
539	CL5	336
540	CL5	92
541	CL5	276
542	CL5	104
543	CL5	343s
544	CL5	63
545	CL5	393
546	CL5	136
547	CL5	373
548	CL5	218
549	CL5	124
550	CL5	21
551	CL5	166
552	CL5	143
553	CL5	162
554	CL5	081d
555	CL5	329
556	CL5	453s
557	CL5	507
558	CL5	158
559	CL5	128
560	CL5	451
561	CL5	367s
562	L	LS
563	CL5	269
564	CL5	412
565	CL5	405
566	CL5	456
567	CL5	211
568	CL5	128
569	CL5	383
570	C	CS
571	CL5	288
572	CL5	299
573	L	LS
574	CL5	412
575	CL5	475
576	CL5	331
577	C	CS
578	CL5	156
579	CL5	371
580	CL5	444
581	CL5	438
582	L	LS
583	CL5	166
584	CL5	456
585	CL5	359
586	L	LS
587	CL5	075s
588	CL5	426b
589	CL5	303
590	CL5	8
591	CL5	475
592	CL5	55
593	CL5	480s
594	CL5	196
595	CL5	148
596	CL5	421
597	CL5	039s
598	CL5	130
599	CL5	124
600	CL5	165
601	CL5	418
602	CL5	329
603	CL5	462
604	CL5	474s
605	CL5	289s
606	CL5	393
607	CL5	108
608	CL5	302b
609	CL5	156
610	CL5	358
611	CL5	196
612	CL5	30
613	CL5	360
614	CL5	413
615	CL5	362s
616	CL5	279
617	CL5	132
618	CL5	135
619	CL5	479s
620	C	CS
621	CL5	182
622	CL5	090b
623	CL5	227
624	CL5	341s
625	CL5	126
626	CL5	136
627	CL5	52
628	CL5	381
629	CL5	361
630	CL5	53
631	CL5	213s
632	CL5	262
633	CL5	412
634	CL5	257
635	CL5	400
636	CL5	256
637	CL5	80
638	CL5	407
639	CL5	262
640	CL5	508
641	CL5	134
642	CL5	054s
643	CL5	29
644	CL5	251
645	CL5	465s
646	CL5	56
647	CL5	99
648	CL5	284
649	CL5	104
650	CL5	014s
651	CL5	423
652	CL5	465s
653	CL5	134
654	CL5	436
655	CL5	46
656	CL5	133
657	CL5	74
658	CL5	151
659	CL5	91
660	CL5	7
661	CL5	501
662	CL5	363
663	CL5	426b
664	CL5	214
665	CL5	163d
666	CL5	275
667	CL5	459
668	CL5	340b
669	CL5	107s
670	CL5	295
671	CL5	399
672	CL5	174
673	CL5	493s
674	CL5	054s
675	CL5	462
676	CL5	262
677	CL5	273
678	CL5	507
679	CL5	205
680	CL5	235
681	CL5	390b
682	CL5	36
683	CL5	213s
684	CL5	104
685	CL5	366
686	CL5	92
687	CL5	469
688	CL5	120
689	CL5	366
690	CL5	226
691	CL5	38
692	CL5	29
693	CL5	238
694	CL5	58
695	CL5	331
696	CL5	464
697	CL5	335
698	CL5	63
699	CL5	258
700	CL5	209
701	CL5	443w
702	CL5	118
703	CL5	278
704	CL5	132
705	CL5	295
706	CL5	411
707	L	LS
708	L	LS
709	CL5	207
710	CL5	054s
711	CL5	483
712	CL5	196
713	CL5	275
714	CL5	217
715	CL5	172
716	CL5	24
717	CL5	406s
718	CL5	142
719	CL5	043s
720	CL5	507
721	CL5	285
722	CL5	19
723	CL5	332
724	CL5	229
725	CL5	464
726	CL5	492b
727	CL5	453s
728	L	LS
729	CL5	152
730	C	CS
731	CL5	392
732	L	LS
733	CL5	464
734	CL5	068s
735	CL5	217
736	CL5	64
737	CL5	410
738	CL5	181
739	CL5	293
740	CL5	139
741	CL5	444
742	CL5	84
743	CL5	292
744	CL5	264
745	CL5	438
746	CL5	429
747	CL5	163d
748	CL5	293
749	CL5	163d
750	CL5	260
751	CL5	83
752	CL5	433s
753	CL5	361
754	CL5	340b
755	CL5	505s
756	CL5	392
757	CL5	178s
758	CL5	198
759	CL5	227
760	CL5	55
761	CL5	335
762	CL5	460s
763	CL5	093s
764	CL5	251
765	CL5	244
766	CL5	382s
767	CL5	52
768	CL5	369s
769	CL5	183
770	CL5	134
771	CL5	501
772	CL5	133
773	CL5	15
774	CL5	40
775	CL5	305b
776	CL5	297
777	CL5	198
778	CL5	442
779	CL5	189d
780	CL5	124
781	CL5	161
782	CL5	231
783	CL5	327
784	CL5	351
785	CL5	15
786	CL5	179s
787	CL5	429
788	CL5	107s
789	CL5	363
790	CL5	172
791	CL5	385
792	CL5	137
793	CL5	162
794	CL5	454
795	CL5	40
796	C	CS
797	CL5	95
798	CL5	354
799	CL5	234
800	CL5	13
801	CL5	357s
802	CL5	492b
803	CL5	340b
804	CL5	431b
805	CL5	11
806	CL5	276
807	CL5	482
808	CL5	234
809	CL5	333
810	CL5	372b
811	CL5	153
812	CL5	380
813	C	CS
814	CL5	71
815	CL5	141
816	CL5	032s
817	CL5	306b
818	CL5	442
819	C	CS
820	CL5	231
821	CL5	508
822	CL5	94
823	CL5	38
824	CL5	44
825	CL5	359
826	CL5	337
827	CL5	9
828	CL5	302b
829	CL5	33
830	CL5	135
831	CL5	86
832	C	CS
833	CL5	508
834	CL5	101s
835	CL5	156
836	CL5	272
837	CL5	270
838	CL5	364s
839	CL5	201
840	CL5	459
841	CL5	211
842	C	CS
843	CL5	330
844	CL5	125
845	CL5	025s
846	CL5	214
847	CL5	56
848	CL5	148
849	CL5	174
850	CL5	054s
851	L	LS
852	CL5	270
853	CL5	63
854	CL5	55
855	CL5	181
856	CL5	282
857	CL5	184
858	CL5	88
859	CL5	258
860	CL5	439
861	CL5	211
862	CL5	283
863	CL5	220
864	CL5	59
865	CL5	353
866	CL5	244
867	CL5	450
868	CL5	306b
869	CL5	195
870	CL5	160
871	CL5	336
872	CL5	41
873	CL5	69
874	CL5	94
875	CL5	7
876	CL5	410
877	CL5	181
878	L	LS
879	C	CS
880	CL5	409s
881	CL5	270
882	L	LS
883	CL5	179s
884	CL5	33
885	CL5	115
886	CL5	150
887	CL5	201
888	CL5	381
889	CL5	424
890	CL5	19
891	L	LS
892	CL5	328
893	CL5	186
894	CL5	237
895	CL5	250
896	CL5	410
897	CL5	365
898	CL5	256
899	CL5	387b
900	CL5	240
901	CL5	160
902	CL5	301
903	CL5	289s
904	CL5	381
905	CL5	121
906	CL5	240
907	CL5	108
908	CL5	505s
909	C	CS
910	CL5	244
911	CL5	13
912	CL5	275
913	CL5	27
914	CL5	260
915	CL5	300
916	CL5	480s
917	CL5	271
918	L	LS
919	CL5	40
920	CL5	491b
921	L	LS
922	CL5	185s
923	CL5	177
924	CL5	305b
925	CL5	399
926	CL5	343s
927	CL5	155
928	CL5	144
929	CL5	434
930	CL5	404
931	CL5	450
932	CL5	36
933	CL5	240
934	CL5	128
935	CL5	105
936	CL5	257
937	CL5	24
938	CL5	292
939	CL5	189d
940	CL5	139
941	CL5	290
942	C	CS
943	CL5	228s
944	CL5	506
945	CL5	482
946	CL5	293
947	L	LS
948	CL5	414
949	CL5	077b
950	CL5	30
951	CL5	288
952	CL5	458s
953	CL5	387b
954	CL5	72
955	CL5	429
956	CL5	185s
957	CL5	237
958	CL5	393
959	CL5	456
960	CL5	411
961	CL5	444
962	CL5	472
963	CL5	355
964	CL5	272
965	CL5	291
966	CL5	130
967	CL5	50
968	CL5	135
969	CL5	399
970	CL5	366
971	CL5	343s
972	C	CS
973	CL5	146
974	CL5	247
975	CL5	250
976	CL5	197
977	CL5	257
978	CL5	227
979	CL5	439
980	CL5	233
981	CL5	84
982	CL5	179s
983	L	LS
984	CL5	115
985	CL5	436
986	CL5	359
987	CL5	8
988	CL5	21
989	CL5	490b
990	CL5	354
991	CL5	402
992	CL5	137
993	CL5	256
994	CL5	501
995	CL5	70
996	CL5	55
997	CL5	104
998	CL5	283
999	CL5	177
1000	CL5	396
1001	CL5	492b
1002	CL5	380
1003	CL5	043s
1004	CL5	58
1005	CL5	440s
1006	C	CS
1007	CL5	176
1008	CL5	405
1009	CL5	158
1010	CL5	214
1011	CL5	132
1012	CL5	9
1013	CL5	338b
1014	CL5	45
1015	CL5	27
1016	CL5	283
1017	CL5	207
1018	CL5	483
1019	CL5	147
1020	CL5	172
1021	CL5	53
1022	CL5	407
1023	CL5	390b
1024	CL5	207
1025	CL5	172
1026	CL5	452
1027	CL5	472
1028	CL5	134
1029	CL5	177
1030	CL5	459
1031	CL5	357s
1032	CL5	46
1033	CL5	62
1034	CL5	469
1035	CL5	182
1036	CL5	443w
1037	CL5	405
1038	CL5	373
1039	C	CS
1040	CL5	503
1041	CL5	461b
1042	CL5	282
1043	CL5	381
1044	CL5	188d
1045	CL5	157
1046	CL5	357s
1047	CL5	475
1048	C	CS
1049	CL5	117s
1050	CL5	83
1051	CL5	424
1052	CL5	014s
1053	C	CS
1054	CL5	336
1055	CL5	69
1056	CL5	92
1057	CL5	105
1058	CL5	233
1059	CL5	404
1060	L	LS
1061	CL5	093s
1062	CL5	399
1063	CL5	84
1064	CL5	145
1065	CL5	483
1066	CL5	409s
1067	CL5	396
1068	CL5	88
1069	CL5	70
1070	CL5	145
1071	CL5	255
1072	C	CS
1073	CL5	354
1074	CL5	338b
1075	C	CS
1076	CL5	238
1077	CL5	202
1078	CL5	081d
1079	CL5	286
1080	CL5	436
1081	CL5	357s
1082	CL5	148
1083	CL5	423
1084	C	CS
1085	CL5	365
1086	CL5	229
1087	CL5	84
1088	L	LS
1089	CL5	269
1090	CL5	457
1091	CL5	299
1092	CL5	29
1093	CL5	121
1094	CL5	122
1095	CL5	450
1096	L	LS
1097	CL5	337
1098	CL5	458s
1099	L	LS
1100	CL5	364s
1101	CL5	336
1102	CL5	144
1103	CL5	119s
1104	CL5	364s
1105	CL5	203
1106	CL5	238
1107	CL5	183
1108	CL5	27
1109	CL5	197
1110	CL5	457
1111	CL5	62
1112	CL5	72
1113	CL5	86
1114	CL5	147
1115	CL5	351
1116	CL5	473s
1117	CL5	291
1118	CL5	161
1119	CL5	180
1120	CL5	195
1121	CL5	493s
1122	CL5	142
1123	CL5	128
1124	CL5	361
1125	CL5	125
1126	CL5	500
1127	CL5	475
1128	CL5	162
1129	CL5	303
1130	CL5	192
1131	CL5	80
1132	CL5	275
1133	CL5	269
1134	CL5	137
1135	CL5	33
1136	CL5	188d
1137	CL5	329
1138	CL5	52
1139	CL5	014s
1140	CL5	373
1141	CL5	495s
1142	CL5	273
1143	CL5	53
1144	CL5	146
1145	CL5	373
1146	C	CS
1147	CL5	95
1148	CL5	12
1149	CL5	432
1150	CL5	462
1151	CL5	109
1152	CL5	426b
1153	CL5	18
1154	CL5	276
1155	CL5	075s
1156	CL5	367s
1157	CL5	505s
1158	CL5	337
1159	CL5	274
1160	CL5	108
1161	CL5	360
1162	CL5	491b
1163	CL5	380
1164	CL5	109
1165	CL5	42
1166	CL5	402
1167	L	LS
1168	CL5	417
1169	L	LS
1170	CL5	278
1171	CL5	382s
1172	CL5	27
1173	CL5	360
1174	CL5	153
1175	CL5	18
1176	CL5	160
1177	CL5	292
1178	CL5	18
1179	CL5	269
1180	CL5	125
1181	CL5	226
1182	CL5	118
1183	CL5	176
1184	CL5	090b
1185	CL5	032s
1186	CL5	86
1187	CL5	472
1188	CL5	251
1189	C	CS
1190	CL5	391
1191	CL5	299
1192	CL5	235
1193	CL5	282
1194	L	LS
1195	CL5	58
1196	CL5	400
1197	CL5	333
1198	CL5	328
1199	CL5	264
1200	CL5	40
1201	CL5	404
1202	CL5	447
1203	CL5	165
1204	CL5	205
1205	CL5	406s
1206	CL5	150
1207	CL5	432
1208	CL5	278
1209	CL5	297
1210	CL5	139
1211	C	CS
1212	CL5	247
1213	CL5	94
1214	L	LS
1215	CL5	257
1216	CL5	302b
1217	CL5	458s
1218	CL5	495s
1219	CL5	273
1220	CL5	327
1221	CL5	94
1222	CL5	91
1223	CL5	264
1224	CL5	462
1225	CL5	45
1226	CL5	369s
1227	CL5	163d
1228	CL5	341s
1229	CL5	30
1230	CL5	15
1231	CL5	222
1232	C	CS
1233	CL5	440s
1234	CL5	290
1235	CL5	362s
1236	CL5	300
1237	CL5	332
1238	CL5	273
1239	CL5	198
1240	CL5	33
1241	CL5	146
1242	CL5	452
1243	CL5	69
1244	CL5	415
1245	CL5	363
1246	CL5	148
1247	CL5	479s
1248	CL5	474s
1249	C	CS
1250	CL5	12
1251	CL5	119s
1252	CL5	122
1253	CL5	068s
1254	CL5	11
1255	CL5	231
1256	CL5	247
1257	CL5	276
1258	CL5	244
1259	CL5	502
1260	L	LS
1261	CL5	270
1262	CL5	285
1263	CL5	332
1264	CL5	043s
1265	CL5	101s
1266	CL5	464
1267	CL5	396
1268	CL5	42
1269	CL5	255
1270	CL5	496s
1271	CL5	386s
1272	CL5	49
1273	C	CS
1274	CL5	15
1275	CL5	501
1276	L	LS
1277	CL5	151
1278	CL5	410
1279	CL5	405
1280	CL5	165
1281	CL5	144
1282	CL5	76
1283	CL5	200
1284	CL5	153
1285	L	LS
1286	CL5	80
1287	CL5	195
1288	CL5	331
1289	L	LS
1290	CL5	120
1291	CL5	404
1292	CL5	70
1293	CL5	185s
1294	CL5	202
1295	CL5	274
1296	CL5	409s
1297	CL5	439
1298	CL5	358
1299	CL5	327
1300	CL5	025s
1301	CL5	256
1302	CL5	500
1303	CL5	218
1304	CL5	351
1305	CL5	233
1306	CL5	133
1307	CL5	306
1308	L	LS
1309	CL5	338b
1310	CL5	260
1311	CL5	141
1312	CL5	180
1313	C	CS
1314	CL5	76
1315	CL5	72
1316	CL5	161
1317	CL5	301
1318	C	CS
1319	CL5	36
1320	CL5	393
1321	CL5	390b
1322	CL5	63
1323	CL5	412
1324	CL5	432
1325	CL5	91
1326	CL5	418
1327	CL5	465s
1328	CL5	438
1329	CL5	188d
1330	CL5	508
1331	C	CS
1332	CL5	101s
1333	CL5	115
1334	CL5	36
1335	CL5	112
1336	CL5	302b
1337	CL5	38
1338	CL5	166
1339	CL5	203
1340	CL5	379
1341	CL5	234
1342	CL5	240
1343	CL5	99
1344	CL5	156
1345	CL5	414
1346	CL5	447
1347	CL5	474s
1348	CL5	431b
1349	CL5	440s
1350	CL5	155
1351	CL5	443w
1352	CL5	371
1353	CL5	383
1354	CL5	390b
1355	CL5	077b
1356	CL5	365
1357	CL5	490b
1358	CL5	88
1359	CL5	400
1360	CL5	1
1361	CL5	188d
1362	CL5	46
1363	L	LS
1364	CL5	454
1365	CL5	451
1366	CL5	068s
1367	CL5	411
1368	CL5	329
1369	L	LS
1370	CL5	090b
1371	CL5	152
1372	CL5	174
1373	CL5	56
1374	CL5	144
1375	CL5	8
1376	CL5	360
1377	CL5	300
1378	CL5	202
1379	L	LS
1380	CL5	166
1381	CL5	235
1382	C	CS
1383	CL5	333
1384	CL5	147
1385	CL5	367s
1386	CL5	222
1387	CL5	305b
1388	CL5	452
1389	CL5	104
1390	CL5	452
1391	CL5	305b
1392	CL5	379
1393	CL5	406s
1394	CL5	490b
1395	CL5	460s
1396	CL5	340b
1397	CL5	460s
1398	CL5	18
1399	CL5	379
1400	CL5	176
1401	CL5	18
1402	CL5	406s
1403	CL5	490b
1404	CL5	18
1405	CL5	52
1406	CL5	104
1407	CL5	176
1408	CL5	52
1409	CL5	340b
Cp	C	CS
Lp	L	LS
