Date	Number	Time	Sp	Ind	Infl_pos	Cor_Len_Var	Nectar_UNC	Nectar_CON	Sugar_UND	Sugar_D+2.5	Sugar (UNDc; mg/mL)	"Sugar (D_2.5_c), mg/mL"	"Sugar (D, c, mg/mL)"	SugConAvg(mg/ml)	TotalSugAmt	Time Removed
11/4/17	24	11:43:00 AM	F5	227	2	25.56	18.77	1.173125	28.6	8.9	320.395944	91.474064	286.4108013	303.4033727	355.9300816	11:36-11:39
3/29/18	32	11:16:00 AM	F5	227	1	24.32	23.64	1.4775	30.1	12.2	339.492864	126.985496	341.8509715	340.6719177	503.3427584	10:41-10:45
3/25/18	25	11:03:00 AM	F5	227	2	22.33	13.93	0.870625	26	6.8	287.8532	69.470096	268.9535016	278.4033508	242.3849173	10:53-10:56
3/25/18	29	11:16:00 AM	F5	229	1	20.66	26.48	1.655	30	12.1	338.2124	125.892624	316.0627509	327.1375754	541.4126873	10:53-10:56
2/20/18	40	11:37:00 AM	F5	229	1	21.09	23.35	1.459375	29.1	10.9	326.735384	112.859904	306.195928	316.465656	461.8420667	11:20
3/17/18	24	10:35:00 AM	F5	229	1	25.35	30.84	1.9275	28.7	13	321.661736	135.7662	311.8572506	316.7594933	610.5539233	9:50-9:54
2/27/18	24	10:48:00 AM	F5	230	1	21.16	15.63	0.976875	30.8	8.1	348.485456	83.037104	295.544088	322.014772	314.5681804	10:32-10:35
3/29/18	26	10:56:00 AM	F5	230	1	30	33.1	2.06875	29.2	13.3	328.006416	139.076256	307.1442391	317.5753275	656.9839588	10:41-10:45
3/17/18	17	10:12:00 AM	F5	230	1	31.51	36.13	2.258125	30.4	14.5	343.340544	152.4108	321.1468089	332.2436764	750.2477518	9:50-9:54
2/13/18	20	10:17:00 AM	F5	231	1	24.84	12.86	0.80375	26.2	6.1	290.331336	62.238144	255.8249061	273.078121	219.4865398	9:47-9:50
2/24/18	28	11:00:00 AM	F5	231	1	25.65	26.91	1.681875	25.9	10.2	286.615704	105.327176	261.8893105	274.2525073	461.2584357	10:44-10:48
2/22/18	41	11:54:00 AM	F5	231	1	23.5	18.54	1.15875	30.2	9.7	340.774376	99.978096	315.6805685	328.2274722	380.3335834	11:45-11:46
2/3/18	6	9:30:00 AM	F5	232	1	23.1	3.09	0.193125	30.7	2	347.197656	20.9108	291.6007676	319.3992118	61.68397278	9:05-9:07
2/9/18	15	10:07:00 AM	F5	232	1	22.85	11.96	0.7475	27.5	6	306.5414	61.2092	265.9222435	286.2318217	213.9582867	9:52-9:57
1/16/18	24	10:36:00 AM	F5	232	1	21.95	7.45	0.465625	24.3	3.7	266.958296	37.832736	240.9615199	253.9599079	118.2500821	9:55-9:59
3/25/18	24	10:59:00 AM	F5	233	1	23.26	12.98	0.81125	26	6.2	287.8532	63.268136	258.2392793	273.0462396	221.5087619	10:53-10:56
4/5/18	16	10:11:00 AM	F5	233	1	26.6	20.21	1.263125	27.5	9.1	306.5414	93.593784	278.8363055	292.6888528	369.7026072	9:54-9:57
3/29/18	24	10:49:00 AM	F5	233	1	26.73	27.94	1.74625	32	14.1	364.0208	147.949184	359.7590394	361.8899197	631.9502723	10:41-10:45
3/1/18	2	9:21:00 AM	F5	236	1	27.67	16.07	1.004375	29.8	9.1	335.654616	93.593784	326.5590211	331.1068185	332.5554108	9:10-9:13
3/3/18	11	9:51:00 AM	F5	236	1	26.29	20	1.25	27.5	9.5	306.5414	97.8458	293.5374	300.0394	375.04925	9:44-9:47
2/27/18	23	10:45:00 AM	F5	236	1	24	8.78	0.54875	34.1	6.4	391.570784	65.331264	362.968002	377.269393	207.0265794	10:32-10:35
