 	Label	X	Y	Circ.	AR	Round	Solidity
1	IMG02087.JPG	2.29	1.855	0	0	0	NaN
2	IMG02087.JPG	2.22	1.571	0	0	0	NaN
3	IMG02087.JPG	3.339	1.525	0	0	0	NaN
4	IMG02087.JPG	3.264	1.878	0	0	0	NaN
5	IMG02087.JPG	2.336	1.513	0	0	0	NaN
6	IMG02087.JPG	2.429	0.951	0	0	0	NaN
7	IMG02087.JPG	2.986	0.945	0	0	0	NaN
8	IMG02087.JPG	3.2	1.496	0	0	0	NaN
9	IMG02195.JPG	2.319	1.925	0	0	0	NaN
10	IMG02195.JPG	2.22	1.641	0	0	0	NaN
11	IMG02195.JPG	3.316	1.571	0	0	0	NaN
12	IMG02195.JPG	3.264	1.896	0	0	0	NaN
13	IMG02195.JPG	2.365	1.612	0	0	0	NaN
14	IMG02195.JPG	2.499	1.032	0	0	0	NaN
15	IMG02195.JPG	3.02	1.02	0	0	0	NaN
16	IMG02195.JPG	3.2	1.548	0	0	0	NaN
17	IMG02194.JPG	2.296	1.907	0	0	0	NaN
18	IMG02194.JPG	2.238	1.548	0	0	0	NaN
19	IMG02194.JPG	3.357	1.542	0	0	0	NaN
20	IMG02194.JPG	3.304	1.855	0	0	0	NaN
21	IMG02194.JPG	2.354	1.536	0	0	0	NaN
22	IMG02194.JPG	2.464	0.951	0	0	0	NaN
23	IMG02194.JPG	3.049	0.928	0	0	0	NaN
24	IMG02194.JPG	3.258	1.519	0	0	0	NaN
25	IMG02193.JPG	2.325	1.925	0	0	0	NaN
26	IMG02193.JPG	2.226	1.606	0	0	0	NaN
27	IMG02193.JPG	3.374	1.559	0	0	0	NaN
28	IMG02193.JPG	3.316	1.867	0	0	0	NaN
29	IMG02193.JPG	2.365	1.565	0	0	0	NaN
30	IMG02193.JPG	2.493	0.986	0	0	0	NaN
31	IMG02193.JPG	3.09	0.962	0	0	0	NaN
32	IMG02193.JPG	3.252	1.536	0	0	0	NaN
33	IMG02192.JPG	2.29	1.994	0	0	0	NaN
34	IMG02192.JPG	2.232	1.687	0	0	0	NaN
35	IMG02192.JPG	3.438	1.594	0	0	0	NaN
36	IMG02192.JPG	3.374	1.925	0	0	0	NaN
37	IMG02192.JPG	2.284	1.629	0	0	0	NaN
38	IMG02192.JPG	2.394	1.02	0	0	0	NaN
39	IMG02192.JPG	3.119	0.98	0	0	0	NaN
