 	Label	X	Y	Circ.	AR	Round	Solidity
1	IMG01650.JPG	2.029	1.948	0	0	0	NaN
2	IMG01650.JPG	1.936	1.565	0	0	0	NaN
3	IMG01650.JPG	3.42	1.507	0	0	0	NaN
4	IMG01650.JPG	3.316	1.983	0	0	0	NaN
5	IMG01650.JPG	2.197	1.606	0	0	0	NaN
6	IMG01650.JPG	2.499	0.69	0	0	0	NaN
7	IMG01650.JPG	3.119	0.696	0	0	0	NaN
8	IMG01650.JPG	3.328	1.461	0	0	0	NaN
9	IMG01649.JPG	1.983	2.064	0	0	0	NaN
10	IMG01649.JPG	1.936	1.583	0	0	0	NaN
11	IMG01649.JPG	3.414	1.67	0	0	0	NaN
12	IMG01649.JPG	3.345	2.145	0	0	0	NaN
13	IMG01649.JPG	2.075	1.565	0	0	0	NaN
14	IMG01649.JPG	2.272	0.8	0	0	0	NaN
15	IMG01649.JPG	2.997	0.8	0	0	0	NaN
16	IMG01649.JPG	3.252	1.623	0	0	0	NaN
17	IMG01648.JPG	2.052	2.07	0	0	0	NaN
18	IMG01648.JPG	2.012	1.583	0	0	0	NaN
19	IMG01648.JPG	3.501	1.612	0	0	0	NaN
20	IMG01648.JPG	3.42	2.104	0	0	0	NaN
21	IMG01648.JPG	2.191	1.554	0	0	0	NaN
22	IMG01648.JPG	2.441	0.841	0	0	0	NaN
23	IMG01648.JPG	3.125	0.829	0	0	0	NaN
24	IMG01648.JPG	3.374	1.571	0	0	0	NaN
25	IMG01647.JPG	1.994	2.145	0	0	0	NaN
26	IMG01647.JPG	1.988	1.664	0	0	0	NaN
27	IMG01647.JPG	3.472	1.588	0	0	0	NaN
28	IMG01647.JPG	3.461	2.081	0	0	0	NaN
29	IMG01647.JPG	2.087	1.641	0	0	0	NaN
30	IMG01647.JPG	2.423	0.858	0	0	0	NaN
31	IMG01647.JPG	3.101	0.841	0	0	0	NaN
32	IMG01647.JPG	3.38	1.571	0	0	0	NaN
33	IMG01646.JPG	2.064	2.041	0	0	0	NaN
34	IMG01646.JPG	1.983	1.606	0	0	0	NaN
35	IMG01646.JPG	3.403	1.6	0	0	0	NaN
36	IMG01646.JPG	3.391	2.104	0	0	0	NaN
37	IMG01646.JPG	2.209	1.658	0	0	0	NaN
38	IMG01646.JPG	2.516	0.922	0	0	0	NaN
39	IMG01646.JPG	3.2	0.904	0	0	0	NaN
40	IMG01646.JPG	3.339	1.612	0	0	0	NaN
41	IMG01645.JPG	2.081	2.162	0	0	0	NaN
42	IMG01645.JPG	2.041	1.675	0	0	0	NaN
43	IMG01645.JPG	3.513	1.652	0	0	0	NaN
44	IMG01645.JPG	3.409	2.151	0	0	0	NaN
45	IMG01645.JPG	2.162	1.617	0	0	0	NaN
46	IMG01645.JPG	2.4	0.91	0	0	0	NaN
47	IMG01645.JPG	3.061	0.899	0	0	0	NaN
48	IMG01645.JPG	3.351	1.623	0	0	0	NaN
49	IMG01644.JPG	2	2.122	0	0	0	NaN
50	IMG01644.JPG	1.977	1.623	0	0	0	NaN
51	IMG01644.JPG	3.449	1.588	0	0	0	NaN
52	IMG01644.JPG	3.455	2.07	0	0	0	NaN
53	IMG01644.JPG	2.07	1.6	0	0	0	NaN
54	IMG01644.JPG	2.441	0.881	0	0	0	NaN
55	IMG01644.JPG	3.136	0.858	0	0	0	NaN
56	IMG01644.JPG	3.322	1.588	0	0	0	NaN
57	IMG01643.JPG	2.093	2.116	0	0	0	NaN
58	IMG01643.JPG	1.994	1.612	0	0	0	NaN
59	IMG01643.JPG	3.49	1.606	0	0	0	NaN
60	IMG01643.JPG	3.472	2.157	0	0	0	NaN
61	IMG01643.JPG	2.11	1.588	0	0	0	NaN
62	IMG01643.JPG	2.33	0.922	0	0	0	NaN
63	IMG01643.JPG	3.055	0.858	0	0	0	NaN
64	IMG01643.JPG	3.351	1.571	0	0	0	NaN
65	IMG01642.JPG	2.11	2.099	0	0	0	NaN
66	IMG01642.JPG	2.104	1.617	0	0	0	NaN
67	IMG01642.JPG	3.519	1.629	0	0	0	NaN
68	IMG01642.JPG	3.455	2.162	0	0	0	NaN
69	IMG01642.JPG	2.22	1.577	0	0	0	NaN
70	IMG01642.JPG	2.481	0.875	0	0	0	NaN
71	IMG01642.JPG	3.107	0.864	0	0	0	NaN
72	IMG01642.JPG	3.397	1.641	0	0	0	NaN
73	IMG01641.JPG	2.035	2.168	0	0	0	NaN
74	IMG01641.JPG	2.006	1.646	0	0	0	NaN
75	IMG01641.JPG	3.449	1.565	0	0	0	NaN
76	IMG01641.JPG	3.443	2.087	0	0	0	NaN
77	IMG01641.JPG	2.104	1.646	0	0	0	NaN
78	IMG01641.JPG	2.435	0.899	0	0	0	NaN
79	IMG01641.JPG	3.125	0.904	0	0	0	NaN
80	IMG01641.JPG	3.357	1.559	0	0	0	NaN
81	IMG01640.JPG	2.22	2.058	0	0	0	NaN
82	IMG01640.JPG	2.151	1.675	0	0	0	NaN
83	IMG01640.JPG	3.328	1.646	0	0	0	NaN
84	IMG01640.JPG	3.333	2.035	0	0	0	NaN
85	IMG01640.JPG	2.255	1.664	0	0	0	NaN
86	IMG01640.JPG	2.51	0.835	0	0	0	NaN
87	IMG01640.JPG	3.049	0.835	0	0	0	NaN
88	IMG01640.JPG	3.235	1.6	0	0	0	NaN
89	IMG01639.JPG	2.157	2.104	0	0	0	NaN
90	IMG01639.JPG	2.11	1.623	0	0	0	NaN
91	IMG01639.JPG	3.501	1.606	0	0	0	NaN
92	IMG01639.JPG	3.438	2.087	0	0	0	NaN
93	IMG01639.JPG	2.203	1.6	0	0	0	NaN
