 	Label	X	Y	Circ.	AR	Round	Solidity
1	IMG02464.JPG	2.052	1.925	0	0	0	NaN
2	IMG02464.JPG	2.006	1.675	0	0	0	NaN
3	IMG02464.JPG	3.53	1.583	0	0	0	NaN
4	IMG02464.JPG	3.536	1.913	0	0	0	NaN
5	IMG02464.JPG	2.162	1.641	0	0	0	NaN
6	IMG02464.JPG	2.388	0.649	0	0	0	NaN
7	IMG02464.JPG	3.171	0.62	0	0	0	NaN
8	IMG02464.JPG	3.368	1.542	0	0	0	NaN
9	IMG02550.JPG	2.168	2.029	0	0	0	NaN
10	IMG02550.JPG	2.122	1.646	0	0	0	NaN
11	IMG02550.JPG	3.461	1.542	0	0	0	NaN
12	IMG02550.JPG	3.467	1.936	0	0	0	NaN
13	IMG02550.JPG	2.209	1.606	0	0	0	NaN
14	IMG02550.JPG	2.452	0.939	0	0	0	NaN
15	IMG02550.JPG	3.136	0.904	0	0	0	NaN
16	IMG02550.JPG	3.374	1.53	0	0	0	NaN
17	IMG02549.JPG	2.22	2.041	0	0	0	NaN
18	IMG02549.JPG	2.128	1.704	0	0	0	NaN
19	IMG02549.JPG	3.472	1.542	0	0	0	NaN
20	IMG02549.JPG	3.426	1.896	0	0	0	NaN
21	IMG02549.JPG	2.255	1.646	0	0	0	NaN
22	IMG02549.JPG	2.394	0.933	0	0	0	NaN
23	IMG02549.JPG	3.171	0.875	0	0	0	NaN
24	IMG02549.JPG	3.368	1.507	0	0	0	NaN
25	IMG02548.JPG	2.22	2.052	0	0	0	NaN
26	IMG02548.JPG	2.128	1.67	0	0	0	NaN
27	IMG02548.JPG	3.461	1.577	0	0	0	NaN
28	IMG02548.JPG	3.42	2	0	0	0	NaN
29	IMG02548.JPG	2.301	1.577	0	0	0	NaN
30	IMG02548.JPG	2.441	0.916	0	0	0	NaN
31	IMG02548.JPG	3.142	0.899	0	0	0	NaN
32	IMG02548.JPG	3.362	1.542	0	0	0	NaN
33	IMG02547.JPG	2.168	2.052	0	0	0	NaN
34	IMG02547.JPG	2.023	1.664	0	0	0	NaN
35	IMG02547.JPG	3.449	1.623	0	0	0	NaN
36	IMG02547.JPG	3.409	2.012	0	0	0	NaN
37	IMG02547.JPG	2.168	1.641	0	0	0	NaN
38	IMG02547.JPG	2.296	0.945	0	0	0	NaN
39	IMG02547.JPG	3.113	0.899	0	0	0	NaN
40	IMG02547.JPG	3.287	1.571	0	0	0	NaN
41	IMG02546.JPG	2.197	2.197	0	0	0	NaN
42	IMG02546.JPG	2.075	1.751	0	0	0	NaN
43	IMG02546.JPG	3.571	1.519	0	0	0	NaN
44	IMG02546.JPG	3.606	1.971	0	0	0	NaN
45	IMG02546.JPG	2.209	1.652	0	0	0	NaN
46	IMG02546.JPG	2.359	0.951	0	0	0	NaN
47	IMG02546.JPG	3.171	0.887	0	0	0	NaN
48	IMG02546.JPG	3.42	1.525	0	0	0	NaN
49	IMG02545.JPG	2.128	2.197	0	0	0	NaN
50	IMG02545.JPG	2.006	1.728	0	0	0	NaN
51	IMG02545.JPG	3.583	1.583	0	0	0	NaN
52	IMG02545.JPG	3.588	2.104	0	0	0	NaN
53	IMG02545.JPG	2.174	1.652	0	0	0	NaN
54	IMG02545.JPG	2.348	0.916	0	0	0	NaN
55	IMG02545.JPG	3.165	0.87	0	0	0	NaN
56	IMG02545.JPG	3.455	1.548	0	0	0	NaN
57	IMG02544.JPG	2.116	1.901	0	0	0	NaN
58	IMG02544.JPG	2.058	1.67	0	0	0	NaN
59	IMG02544.JPG	3.53	1.612	0	0	0	NaN
60	IMG02544.JPG	3.484	1.919	0	0	0	NaN
61	IMG02544.JPG	2.197	1.617	0	0	0	NaN
62	IMG02544.JPG	2.412	0.887	0	0	0	NaN
63	IMG02544.JPG	3.252	0.852	0	0	0	NaN
64	IMG02544.JPG	3.386	1.548	0	0	0	NaN
65	IMG02543.JPG	2.151	2.017	0	0	0	NaN
66	IMG02543.JPG	2.11	1.641	0	0	0	NaN
67	IMG02543.JPG	3.559	1.571	0	0	0	NaN
68	IMG02543.JPG	3.507	1.913	0	0	0	NaN
