 	Label	X	Y	Circ.	AR	Round	Solidity
1	IMG00000.JPG	2.151	2.162	0	0	0	NaN
2	IMG00000.JPG	2.012	1.704	0	0	0	NaN
3	IMG00000.JPG	3.386	1.664	0	0	0	NaN
4	IMG00000.JPG	3.322	2.145	0	0	0	NaN
5	IMG00000.JPG	2.191	1.704	0	0	0	NaN
6	IMG00000.JPG	2.359	0.725	0	0	0	NaN
7	IMG00000.JPG	3.003	0.707	0	0	0	NaN
8	IMG00000.JPG	3.27	1.646	0	0	0	NaN
9	IMG00001.JPG	1.942	1.896	0	0	0	NaN
10	IMG00001.JPG	1.867	1.513	0	0	0	NaN
11	IMG00001.JPG	3.38	1.507	0	0	0	NaN
12	IMG00001.JPG	3.194	1.884	0	0	0	NaN
13	IMG00001.JPG	2.006	1.467	0	0	0	NaN
14	IMG00001.JPG	2.307	0.557	0	0	0	NaN
15	IMG00001.JPG	3.014	0.551	0	0	0	NaN
16	IMG00001.JPG	3.171	1.53	0	0	0	NaN
17	IMG00005.JPG	2.22	2.11	0	0	0	NaN
18	IMG00005.JPG	2.07	1.751	0	0	0	NaN
19	IMG00005.JPG	3.472	1.612	0	0	0	NaN
20	IMG00005.JPG	3.501	2.035	0	0	0	NaN
21	IMG00005.JPG	2.284	1.704	0	0	0	NaN
22	IMG00005.JPG	2.446	0.748	0	0	0	NaN
23	IMG00005.JPG	3.142	0.713	0	0	0	NaN
24	IMG00005.JPG	3.345	1.612	0	0	0	NaN
25	IMG00004.JPG	2.046	2.064	0	0	0	NaN
26	IMG00004.JPG	2.017	1.472	0	0	0	NaN
27	IMG00004.JPG	3.443	1.519	0	0	0	NaN
28	IMG00004.JPG	3.38	2.023	0	0	0	NaN
29	IMG00004.JPG	2.145	1.536	0	0	0	NaN
30	IMG00004.JPG	2.458	0.69	0	0	0	NaN
31	IMG00004.JPG	3.09	0.667	0	0	0	NaN
32	IMG00004.JPG	3.322	1.571	0	0	0	NaN
33	IMG00006.JPG	2.267	2.058	0	0	0	NaN
34	IMG00006.JPG	2.226	1.664	0	0	0	NaN
35	IMG00006.JPG	3.519	1.629	0	0	0	NaN
36	IMG00006.JPG	3.438	2.017	0	0	0	NaN
37	IMG00006.JPG	2.383	1.687	0	0	0	NaN
38	IMG00006.JPG	2.603	0.713	0	0	0	NaN
39	IMG00006.JPG	3.328	0.678	0	0	0	NaN
40	IMG00006.JPG	3.409	1.635	0	0	0	NaN
41	IMG00032.JPG	2.151	1.983	0	0	0	NaN
42	IMG00032.JPG	2.012	1.525	0	0	0	NaN
43	IMG00032.JPG	3.229	1.507	0	0	0	NaN
44	IMG00032.JPG	3.13	2.046	0	0	0	NaN
45	IMG00032.JPG	2.209	1.588	0	0	0	NaN
46	IMG00032.JPG	2.272	0.713	0	0	0	NaN
47	IMG00032.JPG	2.899	0.672	0	0	0	NaN
48	IMG00032.JPG	3.09	1.594	0	0	0	NaN
49	IMG00007.JPG	2.296	1.965	0	0	0	NaN
50	IMG00007.JPG	2.191	1.554	0	0	0	NaN
51	IMG00007.JPG	3.362	1.478	0	0	0	NaN
52	IMG00007.JPG	3.339	1.919	0	0	0	NaN
53	IMG00007.JPG	2.342	1.559	0	0	0	NaN
54	IMG00007.JPG	2.47	0.562	0	0	0	NaN
55	IMG00007.JPG	3.119	0.516	0	0	0	NaN
56	IMG00007.JPG	3.264	1.49	0	0	0	NaN
57	IMG00008.JPG	2.249	2.081	0	0	0	NaN
58	IMG00008.JPG	2.029	1.675	0	0	0	NaN
59	IMG00008.JPG	3.362	1.559	0	0	0	NaN
60	IMG00008.JPG	3.316	2.052	0	0	0	NaN
61	IMG00008.JPG	2.191	1.67	0	0	0	NaN
62	IMG00008.JPG	2.371	0.661	0	0	0	NaN
63	IMG00008.JPG	2.98	0.649	0	0	0	NaN
64	IMG00008.JPG	3.246	1.548	0	0	0	NaN
65	IMG00009.JPG	2.354	1.971	0	0	0	NaN
66	IMG00009.JPG	2.261	1.612	0	0	0	NaN
67	IMG00009.JPG	3.571	1.525	0	0	0	NaN
68	IMG00009.JPG	3.525	1.867	0	0	0	NaN
69	IMG00009.JPG	2.394	1.629	0	0	0	NaN
70	IMG00009.JPG	2.504	0.806	0	0	0	NaN
71	IMG00009.JPG	3.246	0.69	0	0	0	NaN
72	IMG00009.JPG	3.472	1.519	0	0	0	NaN
73	IMG00010.JPG	2.33	2.07	0	0	0	NaN
74	IMG00010.JPG	2.174	1.658	0	0	0	NaN
75	IMG00010.JPG	3.496	1.6	0	0	0	NaN
76	IMG00010.JPG	3.461	2.046	0	0	0	NaN
77	IMG00010.JPG	2.325	1.67	0	0	0	NaN
78	IMG00010.JPG	2.574	0.649	0	0	0	NaN
79	IMG00010.JPG	3.241	0.684	0	0	0	NaN
80	IMG00010.JPG	3.403	1.565	0	0	0	NaN
81	IMG00011.JPG	2.243	1.867	0	0	0	NaN
82	IMG00011.JPG	2.128	1.461	0	0	0	NaN
83	IMG00011.JPG	3.496	1.472	0	0	0	NaN
84	IMG00011.JPG	3.426	1.896	0	0	0	NaN
85	IMG00011.JPG	2.255	1.472	0	0	0	NaN
86	IMG00011.JPG	2.435	0.591	0	0	0	NaN
87	IMG00011.JPG	3.043	0.557	0	0	0	NaN
88	IMG00011.JPG	3.357	1.478	0	0	0	NaN
89	IMG00012.JPG	2.307	2.087	0	0	0	NaN
90	IMG00012.JPG	2.18	1.577	0	0	0	NaN
91	IMG00012.JPG	3.467	1.525	0	0	0	NaN
92	IMG00012.JPG	3.333	2.075	0	0	0	NaN
93	IMG00012.JPG	2.313	1.542	0	0	0	NaN
94	IMG00012.JPG	2.539	0.742	0	0	0	NaN
95	IMG00012.JPG	3.142	0.719	0	0	0	NaN
96	IMG00012.JPG	3.322	1.53	0	0	0	NaN
97	IMG00013.JPG	2.272	2.145	0	0	0	NaN
98	IMG00013.JPG	2.122	1.67	0	0	0	NaN
99	IMG00013.JPG	3.53	1.583	0	0	0	NaN
100	IMG00013.JPG	3.461	2.075	0	0	0	NaN
101	IMG00013.JPG	2.29	1.646	0	0	0	NaN
102	IMG00013.JPG	2.464	0.591	0	0	0	NaN
103	IMG00013.JPG	3.165	0.562	0	0	0	NaN
104	IMG00013.JPG	3.374	1.588	0	0	0	NaN
105	IMG00014.JPG	2.29	2.133	0	0	0	NaN
