 	Label	X	Y	Circ.	AR	Round	Solidity
1	mIMG00552.tif	2.174	1.971	0	0	0	NaN
2	mIMG00552.tif	2.087	1.612	0	0	0	NaN
3	mIMG00552.tif	3.368	1.641	0	0	0	NaN
4	mIMG00552.tif	3.322	1.971	0	0	0	NaN
5	mIMG00552.tif	2.214	1.6	0	0	0	NaN
6	mIMG00552.tif	2.446	0.667	0	0	0	NaN
7	mIMG00552.tif	3.096	0.655	0	0	0	NaN
8	mIMG00552.tif	3.299	1.6	0	0	0	NaN
9	mIMG00660.tif	2.203	2.029	0	0	0	NaN
10	mIMG00660.tif	2.133	1.641	0	0	0	NaN
11	mIMG00660.tif	3.426	1.577	0	0	0	NaN
12	mIMG00660.tif	3.368	1.983	0	0	0	NaN
13	mIMG00660.tif	2.301	1.629	0	0	0	NaN
14	mIMG00660.tif	2.412	0.707	0	0	0	NaN
15	mIMG00660.tif	3.154	0.707	0	0	0	NaN
16	mIMG00660.tif	3.287	1.542	0	0	0	NaN
17	mIMG00659.tif	2.087	2.052	0	0	0	NaN
18	mIMG00659.tif	2.052	1.675	0	0	0	NaN
19	mIMG00659.tif	3.461	1.606	0	0	0	NaN
20	mIMG00659.tif	3.519	1.994	0	0	0	NaN
21	mIMG00659.tif	2.209	1.641	0	0	0	NaN
22	mIMG00659.tif	2.383	0.719	0	0	0	NaN
23	mIMG00659.tif	3.084	0.69	0	0	0	NaN
24	mIMG00659.tif	3.351	1.594	0	0	0	NaN
25	mIMG00658.tif	2.064	2.081	0	0	0	NaN
26	mIMG00658.tif	2.017	1.693	0	0	0	NaN
27	mIMG00658.tif	3.414	1.577	0	0	0	NaN
28	mIMG00658.tif	3.432	1.988	0	0	0	NaN
29	mIMG00658.tif	2.162	1.687	0	0	0	NaN
30	mIMG00658.tif	2.365	0.759	0	0	0	NaN
31	mIMG00658.tif	3.043	0.742	0	0	0	NaN
32	mIMG00658.tif	3.293	1.571	0	0	0	NaN
33	mIMG00657.tif	2.029	2.029	0	0	0	NaN
34	mIMG00657.tif	1.977	1.635	0	0	0	NaN
35	mIMG00657.tif	3.403	1.577	0	0	0	NaN
36	mIMG00657.tif	3.438	1.977	0	0	0	NaN
37	mIMG00657.tif	2.168	1.588	0	0	0	NaN
38	mIMG00657.tif	2.388	0.754	0	0	0	NaN
39	mIMG00657.tif	3.049	0.759	0	0	0	NaN
40	mIMG00657.tif	3.304	1.588	0	0	0	NaN
41	mIMG00656.tif	2.064	2.058	0	0	0	NaN
42	mIMG00656.tif	2.064	1.629	0	0	0	NaN
43	mIMG00656.tif	3.42	1.606	0	0	0	NaN
44	mIMG00656.tif	3.443	2.017	0	0	0	NaN
45	mIMG00656.tif	2.203	1.612	0	0	0	NaN
46	mIMG00656.tif	2.377	0.8	0	0	0	NaN
47	mIMG00656.tif	3.084	0.788	0	0	0	NaN
48	mIMG00656.tif	3.316	1.641	0	0	0	NaN
49	mIMG00655.tif	2.099	2.064	0	0	0	NaN
50	mIMG00655.tif	2.081	1.629	0	0	0	NaN
51	mIMG00655.tif	3.432	1.542	0	0	0	NaN
52	mIMG00655.tif	3.467	1.936	0	0	0	NaN
53	mIMG00655.tif	2.191	1.617	0	0	0	NaN
54	mIMG00655.tif	2.348	0.736	0	0	0	NaN
55	mIMG00655.tif	3.101	0.701	0	0	0	NaN
56	mIMG00655.tif	3.31	1.542	0	0	0	NaN
57	mIMG00654.tif	2.145	2	0	0	0	NaN
58	mIMG00654.tif	2.133	1.623	0	0	0	NaN
59	mIMG00654.tif	3.333	1.559	0	0	0	NaN
60	mIMG00654.tif	3.328	1.988	0	0	0	NaN
61	mIMG00654.tif	2.272	1.629	0	0	0	NaN
62	mIMG00654.tif	2.441	0.754	0	0	0	NaN
63	mIMG00654.tif	3.113	0.754	0	0	0	NaN
64	mIMG00654.tif	3.241	1.577	0	0	0	NaN
65	mIMG00653.tif	2.197	2.052	0	0	0	NaN
66	mIMG00653.tif	2.168	1.617	0	0	0	NaN
67	mIMG00653.tif	3.484	1.548	0	0	0	NaN
68	mIMG00653.tif	3.525	1.919	0	0	0	NaN
69	mIMG00653.tif	2.284	1.635	0	0	0	NaN
70	mIMG00653.tif	2.423	0.777	0	0	0	NaN
71	mIMG00653.tif	3.154	0.73	0	0	0	NaN
72	mIMG00653.tif	3.403	1.542	0	0	0	NaN
73	IMG00652.JPG	2.139	1.994	0	0	0	NaN
74	IMG00652.JPG	2.087	1.6	0	0	0	NaN
75	IMG00652.JPG	3.432	1.629	0	0	0	NaN
76	IMG00652.JPG	3.455	2	0	0	0	NaN
77	IMG00652.JPG	2.22	1.588	0	0	0	NaN
78	IMG00652.JPG	2.464	0.765	0	0	0	NaN
79	IMG00652.JPG	3.13	0.736	0	0	0	NaN
80	IMG00652.JPG	3.333	1.623	0	0	0	NaN
81	IMG00651.JPG	2.035	1.971	0	0	0	NaN
82	IMG00651.JPG	2.017	1.612	0	0	0	NaN
83	IMG00651.JPG	3.357	1.565	0	0	0	NaN
84	IMG00651.JPG	3.391	1.983	0	0	0	NaN
85	IMG00651.JPG	2.145	1.6	0	0	0	NaN
86	IMG00651.JPG	2.307	0.69	0	0	0	NaN
87	IMG00651.JPG	3.038	0.672	0	0	0	NaN
88	IMG00651.JPG	3.27	1.594	0	0	0	NaN
89	IMG00650.JPG	2.104	1.919	0	0	0	NaN
90	IMG00650.JPG	2.041	1.583	0	0	0	NaN
91	IMG00650.JPG	3.362	1.536	0	0	0	NaN
92	IMG00650.JPG	3.31	1.942	0	0	0	NaN
93	IMG00650.JPG	2.168	1.559	0	0	0	NaN
94	IMG00650.JPG	2.365	0.783	0	0	0	NaN
95	IMG00650.JPG	3.107	0.759	0	0	0	NaN
96	IMG00650.JPG	3.27	1.554	0	0	0	NaN
97	IMG00649.JPG	2.052	2.023	0	0	0	NaN
98	IMG00649.JPG	1.994	1.629	0	0	0	NaN
99	IMG00649.JPG	3.362	1.617	0	0	0	NaN
100	IMG00649.JPG	3.362	1.977	0	0	0	NaN
101	IMG00649.JPG	2.186	1.623	0	0	0	NaN
102	IMG00649.JPG	2.342	0.794	0	0	0	NaN
103	IMG00649.JPG	3.038	0.736	0	0	0	NaN
104	IMG00649.JPG	3.241	1.617	0	0	0	NaN
105	IMG00648.JPG	2.116	1.901	0	0	0	NaN
106	IMG00648.JPG	2.081	1.571	0	0	0	NaN
107	IMG00648.JPG	3.438	1.565	0	0	0	NaN
108	IMG00648.JPG	3.426	1.965	0	0	0	NaN
109	IMG00648.JPG	2.238	1.536	0	0	0	NaN
110	IMG00648.JPG	2.47	0.725	0	0	0	NaN
111	IMG00648.JPG	3.09	0.73	0	0	0	NaN
112	IMG00648.JPG	3.328	1.583	0	0	0	NaN
113	IMG00647.JPG	2.348	1.971	0	0	0	NaN
114	IMG00647.JPG	2.278	1.67	0	0	0	NaN
115	IMG00647.JPG	3.472	1.542	0	0	0	NaN
116	IMG00647.JPG	3.455	1.855	0	0	0	NaN
117	IMG00647.JPG	2.4	1.617	0	0	0	NaN
118	IMG00647.JPG	2.528	0.742	0	0	0	NaN
119	IMG00647.JPG	3.142	0.696	0	0	0	NaN
120	IMG00647.JPG	3.403	1.548	0	0	0	NaN
121	IMG00646.JPG	2.18	1.896	0	0	0	NaN
122	IMG00646.JPG	2.18	1.588	0	0	0	NaN
123	IMG00646.JPG	3.38	1.6	0	0	0	NaN
124	IMG00646.JPG	3.333	1.919	0	0	0	NaN
125	IMG00646.JPG	2.272	1.577	0	0	0	NaN
126	IMG00646.JPG	2.412	0.875	0	0	0	NaN
127	IMG00646.JPG	3.072	0.864	0	0	0	NaN
128	IMG00646.JPG	3.299	1.617	0	0	0	NaN
129	IMG00645.JPG	2.075	1.948	0	0	0	NaN
130	IMG00645.JPG	2.058	1.623	0	0	0	NaN
131	IMG00645.JPG	3.362	1.594	0	0	0	NaN
132	IMG00645.JPG	3.414	1.948	0	0	0	NaN
133	IMG00645.JPG	2.226	1.629	0	0	0	NaN
134	IMG00645.JPG	2.458	0.852	0	0	0	NaN
135	IMG00645.JPG	3.072	0.829	0	0	0	NaN
136	IMG00645.JPG	3.27	1.612	0	0	0	NaN
137	IMG00644.JPG	2.145	2.087	0	0	0	NaN
138	IMG00644.JPG	2.075	1.716	0	0	0	NaN
139	IMG00644.JPG	3.455	1.583	0	0	0	NaN
140	IMG00644.JPG	3.478	2.017	0	0	0	NaN
141	IMG00644.JPG	2.209	1.664	0	0	0	NaN
142	IMG00644.JPG	2.307	0.759	0	0	0	NaN
143	IMG00644.JPG	3.101	0.678	0	0	0	NaN
144	IMG00644.JPG	3.374	1.588	0	0	0	NaN
145	IMG00643.JPG	2.261	2.11	0	0	0	NaN
146	IMG00643.JPG	2.18	1.728	0	0	0	NaN
147	IMG00643.JPG	3.455	1.617	0	0	0	NaN
148	IMG00643.JPG	3.403	2.012	0	0	0	NaN
149	IMG00643.JPG	2.307	1.67	0	0	0	NaN
150	IMG00643.JPG	2.493	0.725	0	0	0	NaN
151	IMG00643.JPG	3.177	0.725	0	0	0	NaN
152	IMG00643.JPG	3.345	1.577	0	0	0	NaN
153	IMG00642.JPG	2.278	2.029	0	0	0	NaN
154	IMG00642.JPG	2.238	1.658	0	0	0	NaN
155	IMG00642.JPG	3.548	1.583	0	0	0	NaN
156	IMG00642.JPG	3.507	1.971	0	0	0	NaN
157	IMG00642.JPG	2.33	1.606	0	0	0	NaN
158	IMG00642.JPG	2.533	0.794	0	0	0	NaN
159	IMG00642.JPG	3.206	0.754	0	0	0	NaN
160	IMG00642.JPG	3.443	1.577	0	0	0	NaN
