 	Label	X	Y	Circ.	AR	Round	Solidity
1	mIMG00093.tif	2.11	2.22	0	0	0	NaN
2	mIMG00093.tif	2.052	1.762	0	0	0	NaN
3	mIMG00093.tif	3.391	1.762	0	0	0	NaN
4	mIMG00093.tif	3.264	2.238	0	0	0	NaN
5	mIMG00093.tif	2.168	1.78	0	0	0	NaN
6	mIMG00093.tif	2.446	0.841	0	0	0	NaN
7	mIMG00093.tif	3.061	0.817	0	0	0	NaN
8	mIMG00093.tif	3.293	1.78	0	0	0	NaN
9	mIMG00156.tif	2.267	1.994	0	0	0	NaN
10	mIMG00156.tif	2.145	1.583	0	0	0	NaN
11	mIMG00156.tif	3.403	1.548	0	0	0	NaN
12	mIMG00156.tif	3.287	2.041	0	0	0	NaN
13	mIMG00156.tif	2.307	1.577	0	0	0	NaN
14	mIMG00156.tif	2.458	0.73	0	0	0	NaN
15	mIMG00156.tif	3.113	0.69	0	0	0	NaN
16	mIMG00156.tif	3.287	1.577	0	0	0	NaN
17	mIMG00155.tif	2.377	2.093	0	0	0	NaN
18	mIMG00155.tif	2.238	1.641	0	0	0	NaN
19	mIMG00155.tif	3.525	1.635	0	0	0	NaN
20	mIMG00155.tif	3.449	2.052	0	0	0	NaN
21	mIMG00155.tif	2.371	1.606	0	0	0	NaN
22	mIMG00155.tif	2.51	0.812	0	0	0	NaN
23	mIMG00155.tif	3.206	0.783	0	0	0	NaN
24	mIMG00155.tif	3.443	1.635	0	0	0	NaN
25	mIMG00154.tif	2.058	2.07	0	0	0	NaN
26	mIMG00154.tif	1.901	1.652	0	0	0	NaN
27	mIMG00154.tif	3.345	1.577	0	0	0	NaN
28	mIMG00154.tif	3.212	2.087	0	0	0	NaN
29	mIMG00154.tif	2.041	1.629	0	0	0	NaN
30	mIMG00154.tif	2.249	0.713	0	0	0	NaN
31	mIMG00154.tif	3.038	0.701	0	0	0	NaN
32	mIMG00154.tif	3.217	1.583	0	0	0	NaN
33	mIMG00153.tif	2.267	2.128	0	0	0	NaN
34	mIMG00153.tif	2.122	1.67	0	0	0	NaN
35	mIMG00153.tif	3.449	1.577	0	0	0	NaN
36	mIMG00153.tif	3.339	2.081	0	0	0	NaN
37	mIMG00153.tif	2.243	1.664	0	0	0	NaN
38	mIMG00153.tif	2.371	0.777	0	0	0	NaN
39	mIMG00153.tif	3.119	0.742	0	0	0	NaN
40	mIMG00153.tif	3.345	1.554	0	0	0	NaN
41	mIMG00152.tif	2.162	2.035	0	0	0	NaN
42	mIMG00152.tif	2.041	1.6	0	0	0	NaN
43	mIMG00152.tif	3.42	1.525	0	0	0	NaN
44	mIMG00152.tif	3.403	1.965	0	0	0	NaN
45	mIMG00152.tif	2.186	1.583	0	0	0	NaN
46	mIMG00152.tif	2.383	0.73	0	0	0	NaN
47	mIMG00152.tif	3.107	0.701	0	0	0	NaN
48	mIMG00152.tif	3.316	1.554	0	0	0	NaN
49	mIMG00094.tif	2.232	2.058	0	0	0	NaN
50	mIMG00094.tif	2.075	1.617	0	0	0	NaN
51	mIMG00094.tif	3.455	1.559	0	0	0	NaN
52	mIMG00094.tif	3.351	2.081	0	0	0	NaN
53	mIMG00094.tif	2.203	1.594	0	0	0	NaN
54	mIMG00094.tif	2.377	0.742	0	0	0	NaN
55	mIMG00094.tif	3.078	0.713	0	0	0	NaN
56	mIMG00094.tif	3.368	1.559	0	0	0	NaN
57	IMG00151.JPG	2.07	2.017	0	0	0	NaN
58	IMG00151.JPG	1.971	1.554	0	0	0	NaN
59	IMG00151.JPG	3.351	1.6	0	0	0	NaN
60	IMG00151.JPG	3.275	2.041	0	0	0	NaN
61	IMG00151.JPG	2.128	1.594	0	0	0	NaN
62	IMG00151.JPG	2.296	0.707	0	0	0	NaN
63	IMG00151.JPG	3.055	0.69	0	0	0	NaN
64	IMG00151.JPG	3.252	1.635	0	0	0	NaN
65	IMG00150.JPG	2.354	2.093	0	0	0	NaN
66	IMG00150.JPG	2.214	1.664	0	0	0	NaN
67	IMG00150.JPG	3.519	1.53	0	0	0	NaN
68	IMG00150.JPG	3.455	1.988	0	0	0	NaN
69	IMG00150.JPG	2.336	1.646	0	0	0	NaN
70	IMG00150.JPG	2.435	0.806	0	0	0	NaN
71	IMG00150.JPG	3.148	0.73	0	0	0	NaN
72	IMG00150.JPG	3.414	1.577	0	0	0	NaN
73	IMG00149.JPG	2.226	2.133	0	0	0	NaN
74	IMG00149.JPG	2.075	1.693	0	0	0	NaN
75	IMG00149.JPG	3.438	1.571	0	0	0	NaN
76	IMG00149.JPG	3.386	2.093	0	0	0	NaN
77	IMG00149.JPG	2.232	1.664	0	0	0	NaN
