 	Label	X	Y	Circ.	AR	Round	Solidity
1	IMG00772.JPG	2.243	1.965	0	0	0	NaN
2	IMG00772.JPG	2.104	1.554	0	0	0	NaN
3	IMG00772.JPG	3.362	1.542	0	0	0	NaN
4	IMG00772.JPG	3.31	1.959	0	0	0	NaN
5	IMG00772.JPG	2.238	1.536	0	0	0	NaN
6	IMG00772.JPG	2.336	0.759	0	0	0	NaN
7	IMG00772.JPG	3.113	0.725	0	0	0	NaN
8	IMG00772.JPG	3.252	1.565	0	0	0	NaN
9	IMG00661.JPG	2.133	2.162	0	0	0	NaN
10	IMG00661.JPG	2.058	1.716	0	0	0	NaN
11	IMG00661.JPG	3.467	1.6	0	0	0	NaN
12	IMG00661.JPG	3.426	2.046	0	0	0	NaN
13	IMG00661.JPG	2.226	1.658	0	0	0	NaN
14	IMG00661.JPG	2.377	0.713	0	0	0	NaN
15	IMG00661.JPG	3.043	0.707	0	0	0	NaN
16	IMG00661.JPG	3.293	1.646	0	0	0	NaN
17	IMG00771.JPG	2.151	2.006	0	0	0	NaN
18	IMG00771.JPG	2.075	1.675	0	0	0	NaN
19	IMG00771.JPG	3.472	1.554	0	0	0	NaN
20	IMG00771.JPG	3.368	1.965	0	0	0	NaN
21	IMG00771.JPG	2.168	1.646	0	0	0	NaN
22	IMG00771.JPG	2.336	0.794	0	0	0	NaN
23	IMG00771.JPG	3.142	0.725	0	0	0	NaN
24	IMG00771.JPG	3.374	1.525	0	0	0	NaN
25	IMG00770.JPG	2.197	2	0	0	0	NaN
26	IMG00770.JPG	2.162	1.577	0	0	0	NaN
27	IMG00770.JPG	3.449	1.6	0	0	0	NaN
28	IMG00770.JPG	3.467	2.023	0	0	0	NaN
29	IMG00770.JPG	2.301	1.594	0	0	0	NaN
30	IMG00770.JPG	2.4	0.87	0	0	0	NaN
31	IMG00770.JPG	3.159	0.875	0	0	0	NaN
32	IMG00770.JPG	3.357	1.617	0	0	0	NaN
33	IMG00769.JPG	2.209	2.029	0	0	0	NaN
